StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,    We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.    Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.    You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.    Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.    I DECLARE THAT  • I am 18 years old or older  • I take part in this project voluntarily  • I am aware of the objectives and aims of this research project  • I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes  • I am aware that it is not possible to withdraw the data I have provided once it has been submitted.    For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.",Person A was given two tickets to the lottery. They won 100 € with one ticket and 50 € with the other ticket.      Person B was given a ticket to one lottery. They won 150 €.        Who is happier?,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 10 € but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is 10 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 10 € but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is 10 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was 20 € instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 20 € instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 20 € (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted 20 €","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 20 € (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 20 € (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for 290 € and a Bluetooth speaker for 30 €. The salesman informs you that the speaker you wish to buy is on sale for 20 € at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 10 € which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is 10 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 10 € which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is 10 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 20 € instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 20 € instead? - If they are a stranger,Person A received a fine and owed 200 €. The same day they received a second fine and owed 100 €.    Person B received a fine and owed 300 €.  Who is more upset?,"Imagine that you are on your way to a music event and intend to buy a ticket worth 100 €. On entering the venue, you realize that you have lost 100 € in cash.   Would you still pay 100 € for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 30 €, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 30 € and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won 200 €. Also, they damaged one door in their apartment in an accident and had to pay the landlord 150 €.       Person B bought a lottery ticket and won 50 €.       Who is happier?",You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 10 € but you paid 20 € for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is 10 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 10 € but you paid 20 € for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is 10 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was 20 € instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 20 € instead? - If they are a stranger,"You are about to purchase a jacket for 30 € and a Bluetooth speaker for 290 €. The salesman informs you that the speaker you wish to buy is on sale for 280 € at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 900 € a year (i.e., roughly 20 € per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted 20 €","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 900 € a year (i.e., roughly 20 € per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 900 € a year (i.e., roughly 20 € per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind",Person A damaged their car in a parking lot. They had to spend 350 € to repair the damage. The same day they damaged the car they won 50 € in a raffle.       Person B damaged their car in a parking lot. They had to spend 300 € to repair the damage.       Who is more upset?,"Imagine that you are on your way to a music event with a ticket for which you have paid 100 €. On entering the venue, you discover that you have lost the ticket.    Would you pay 100 € for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 30 €, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 30 € and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.    What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have 100 € in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your monthly gross household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-12 10:43:03,2022-09-12 10:50:13,IP Address,100,430,True,2022-09-12 10:50:14,R_V4rmycwdkAoTwhr,anonymous,DE,1,I agree to participate in the research,A,0,10,0,20,12,"Strongly agree

1
",4,"Strongly disagree

5
",Yes,10,20,20,20,A,Yes,Consider it a gift and not pay for the coupon.,B,20,30,20,30,No,"Strongly disagree

5
",2,"Strongly disagree

5
",B,No,Consider it a gift and not pay for the coupon.,5,I do not know,I do not know,I do not know,I do not know,Very serious,Female,26,1800 € - 2800 €,18,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 10:54:25,2022-09-12 11:08:08,IP Address,100,823,True,2022-09-12 11:08:08,R_3imMG6cO5XExsXt,anonymous,DE,1,I agree to participate in the research,"No difference ",0,10,0,10,3,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,0,10,0,10,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,0,20,0,20,No,"Strongly disagree

5
","Strongly agree

1
","Strongly agree

1
",No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",3,More than 102 €,Less than today,False,I do not know,Very serious,Female,54,Less than 1800 €,13,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 11:03:14,2022-09-12 11:16:09,IP Address,100,775,True,2022-09-12 11:16:10,R_2YFEPjyCHtXVXqo,anonymous,DE,1,I agree to participate in the research,A,0,10,0,10,5,"Strongly agree

1
","Strongly disagree

5
",3,No,10,10,10,20,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,20,20,20,20,No,3,4,2,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",3,Less than 102 €,Less than today,False,I do not know,Very serious,Male,35,3800 € - 4700 €,16,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 11:32:33,2022-09-12 12:08:09,IP Address,100,2136,True,2022-09-12 12:08:10,R_1g8Aj44l1FWwSlq,anonymous,DE,1,I agree to participate in the research,A,0,10,0,20,8,"Strongly agree

1
","Strongly disagree

5
",2,No,10,10,10,20,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,20,20,20,20,No,4,2,2,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",4,More than 102 €,Less than today,False,I do not know,Very serious,Male,33,4700 € - 5700 €,10,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 11:56:58,2022-09-12 12:10:12,IP Address,100,794,True,2022-09-12 12:10:13,R_xmaGtdgAqhsH1bb,anonymous,DE,1,I agree to participate in the research,"No difference ",0,0,0,0,10,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,10,10,20,20,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,10,20,20,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",10,More than 102 €,Less than today,I do not know,I do not know,Very serious,Female,24,Less than 1800 €,14,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 11:57:52,2022-09-12 12:11:42,IP Address,100,829,True,2022-09-12 12:11:42,R_3qjHJ9Angj8gHof,anonymous,DE,0.8999999761581421,I agree to participate in the research,A,0,0,0,5,5,"Strongly agree

1
","Strongly disagree

5
",3,Yes,0,10,10,20,A,Yes,Consider it a gift and not pay for the coupon.,B,10,20,10,20,Yes,2,4,"Strongly agree

1
",B,No,Consider it a gift and not pay for the coupon.,5,More than 102 €,I do not know,False,I do not know,Moderately serious,Female,51,Prefer not to answer,22,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 12:32:52,2022-09-12 12:49:34,IP Address,100,1001,True,2022-09-12 12:49:35,R_1LYT7K4Smnjg3jE,anonymous,DE,1,I agree to participate in the research,A,0,10.00,0,20,5.00,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",Yes,10.00,10.00,10.00,20.00,A,No,Consider it a gift and not pay for the coupon.,No difference,10.00,10.00,10.00,10.00,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",A,No,Consider it a gift and not pay for the coupon.,3.00,Exactly 102 €,Less than today,True,They collapse,Very serious,Female,54,Less than 1800 €,15,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 23:26:47,2022-09-12 23:48:08,IP Address,100,1280,True,2022-09-12 23:48:09,R_27gpfRAR7kXoHzn,anonymous,DE,1,I agree to participate in the research,"No difference ",0,10,0,10,5,2,4,2,No,10,10,10,20,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,20,20,20,20,No,3,2,2,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",3,More than 102 €,Less than today,False,I do not know,Very serious,Female,56,More than 5700 €,13,Germany,German,I allow you to use the responses I provided in this study.
