StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,    We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.    Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.    You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.    Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.    I DECLARE THAT  • I am 18 years old or older  • I take part in this project voluntarily  • I am aware of the objectives and aims of this research project  • I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes  • I am aware that it is not possible to withdraw the data I have provided once it has been submitted.    For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.",Person A was given two tickets to the lottery. They won 9000 forint with one ticket and 5000 forint with the other ticket.      Person B was given a ticket to one lottery. They won 14 000 forint.        Who is happier?,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 8000 forint but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is 8000 forint. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 8000 forint but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is 8000 forint. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was 16 000 forint instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 16 000 forint instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 2000 forint (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted 2000 forint","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 2000 forint (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 2000 forint (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a sweater for 30 000 forint and a Bluetooth speaker for 7000 forint. The salesman informs you that the speaker you wish to buy is on sale for 5000 forint at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 8000 forint which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is 8000 forint. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 8000 forint which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is 8000 forint. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 16 000 forint instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 16 000 forint instead? - If they are a stranger,Person A received a fine and owed 20 000 forint. The same day they received a second fine and owed 10 000 forint.    Person B received a fine and owed 30 000 forint.  Who is more upset?,"Imagine that you are on your way to a music event and intend to buy a ticket worth 10 000 forint. On entering the venue, you realize that you have lost 10 000 forint in cash.   Would you still pay 10 000 forint for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 25 000 forint, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 25 000 forint and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won 20 000 forint. Also, they damaged one door in their apartment in an accident and had to pay the landlord 15 000 forint.       Person B bought a lottery ticket and won 5000 forint.       Who is happier?",You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 8000 forint but you paid 16 000 forint for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is 8000 forint. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 8000 forint but you paid 16 000 forint for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is 8000 forint. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was 16 000 forint instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 16 000 forint instead? - If they are a stranger,"You are about to purchase a sweater for 7000 forint and a Bluetooth speaker for 30 000 forint. The salesman informs you that the speaker you wish to buy is on sale for 28 000 forint at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 80 000 forint a year (i.e., roughly 2000 forint per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted 2000 forint","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 80 000 forint a year (i.e., roughly 2000 forint per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 80 000 forint a year (i.e., roughly 2000 forint per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind",Person A damaged their car in a parking lot. They had to spend 40 000 forint to repair the damage. The same day they damaged the car they won 5000 forint in a raffle.       Person B damaged their car in a parking lot. They had to spend 35 000 forint to repair the damage.       Who is more upset?,"Imagine that you are on your way to a music event with a ticket for which you have paid 10 000 forint. On entering the venue, you discover that you have lost the ticket.    Would you pay 10 000 forint for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 25 000 forint, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 25 000 forint and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.    What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have 10 000 forint in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes net monthly personal income?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-12 02:04:37,2022-09-12 03:23:41,IP Address,100,4744,True,2022-09-12 03:23:41,R_vGrcnuKEfyxykrD,anonymous,HU,1,I agree to participate in the research,B,5000,8000,8000,16000,1500,"Strongly disagree

5
","Strongly agree

1
",2,No,7000,8000,10000,16000,A,Yes,Consider it a gift and not pay for the coupon.,B,8000,16000,16000,16000,No,"Strongly disagree

5
",3,"Strongly agree

1
",A,No,Consider it a gift and not pay for the coupon.,500,More than 10 200 forint,Exactly the same as today,I do not know,They collapse,Absolutely serious,Female,28,More than 560 000 forint,19,Hungary,Hungarian,I allow you to use the responses I provided in this study.
2022-09-12 02:24:38,2022-09-12 03:53:58,IP Address,100,5360,True,2022-09-12 03:53:58,R_23UF83vfVTpatMR,anonymous,HU,1,I agree to participate in the research,"No difference ",0,5000,0,10000,2000,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,8000,8000,8000,16000,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,16000,16000,16000,16000,No,2,3,4,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",500,More than 10 200 forint,Less than today,I do not know,I do not know,Absolutely serious,Female,28,More than 560 000 forint,20,Hungary,Hungarian,I allow you to use the responses I provided in this study.
2022-09-12 11:07:02,2022-09-12 11:18:18,IP Address,100,676,True,2022-09-12 11:18:19,R_2f9euccwpVc0K3L,anonymous,HU,1,I agree to participate in the research,A,0,5000,0,6000,1500,2,"Strongly disagree

5
",3,Yes,6000,7500,8000,13000,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,7000,9000,8000,10000,No,4,2,3,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",500,More than 10 200 forint,Less than today,True,I do not know,Absolutely serious,Female,27,More than 560 000 forint,18,Hungary,Hungarian,I allow you to use the responses I provided in this study.
2022-09-13 08:57:27,2022-09-13 09:12:39,IP Address,100,912,True,2022-09-13 09:12:41,R_1f2zw0kGcetHRC4,anonymous,HU,0.8999999761581421,I agree to participate in the research,A,0,8000,0,16000,2000,"Strongly agree

1
",4,3,Yes,8000,8000,8000,16000,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",No difference,80000,15000,16000,16000,Yes,4,4,4,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",1500,More than 10 200 forint,Less than today,I do not know,There is no relationship,Absolutely serious,Female,27,Prefer not to answer,17,Hungary,Hungarian,I allow you to use the responses I provided in this study.
2022-09-13 09:04:55,2022-09-13 09:15:06,IP Address,100,610,True,2022-09-13 09:15:06,R_24qGJdHHJ4PJfOO,anonymous,HU,0.8999999761581421,I agree to participate in the research,B,8000,8000,8000,16000,1500,"Strongly agree

1
","Strongly disagree

5
",4,No,8000,8000,8000,16000,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",A,8000,8000,8000,16000,No,"Strongly agree

1
","Strongly disagree

5
",4,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",1500,More than 10 200 forint,Less than today,False,I do not know,Absolutely serious,Female,39,375 000 – 470 000 forint,14,Hungary,Hungarian,I allow you to use the responses I provided in this study.
2022-09-13 09:19:51,2022-09-13 09:33:35,IP Address,100,823,True,2022-09-13 09:33:35,R_111KYe2432lGPRl,anonymous,HU,1,I agree to participate in the research,"No difference ",8000,10000,15000,20000,1500,2,4,"Strongly disagree

5
",Yes,8000,10000,15000,20000,No difference,Yes,Consider it a gift and not pay for the coupon.,No difference,8000,20000,16000,20000,No,2,4,"Strongly disagree

5
",No difference,Yes,Consider it a gift and not pay for the coupon.,500,More than 10 200 forint,More than today,False,I do not know,Absolutely serious,Female,30,280 000 – 375 000 forint,18,Hungary,Hungarian,I allow you to use the responses I provided in this study.
2022-09-13 10:54:24,2022-09-13 11:02:41,IP Address,100,497,True,2022-09-13 11:02:42,R_9sopgFVUYXggeFX,anonymous,HU,1,I agree to participate in the research,"No difference ",5000,8000,10000,16000,1500,"Strongly agree

1
","Strongly disagree

5
",3,Yes,8000,8000,8000,16000,A,No,Consider it a gift and not pay for the coupon.,B,8000,16000,16000,16000,Yes,"Strongly agree

1
","Strongly disagree

5
",3,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",1000,I do not know,I do not know,I do not know,I do not know,Very serious,Female,29,More than 560 000 forint,18,Hungary,Hungarian,I allow you to use the responses I provided in this study.
2022-09-13 10:50:50,2022-09-13 11:06:09,IP Address,100,919,True,2022-09-13 11:06:10,R_2BlCySPr0dJHKFF,anonymous,HU,0.8999999761581421,I agree to participate in the research,A,8000,8000,16000,16000,800,4,2,3,Yes,8000,8000,16000,16000,A,Yes,Pay your friend 25 000 forint for the coupon.,B,16000,16000,16000,16000,Yes,4,2,"Strongly disagree

5
",B,Yes,Pay your friend 25 000 forint for the coupon.,400,Exactly 10 200 forint,Less than today,I do not know,I do not know,Absolutely serious,Prefer not to say,49,280 000 – 375 000 forint,14,Hungary,Hungarian,I allow you to use the responses I provided in this study.
