StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,    We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.    Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.    You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.    Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.    I DECLARE THAT  • I am 17 years old or older  • I take part in this project voluntarily  • I am aware of the objectives and aims of this research project  • I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes  • I am aware that it is not possible to withdraw the data I have provided once it has been submitted.    For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.","Person A was given two lucky draw tickets. They won Rp120,000 with one ticket and Rp60,000 with the other ticket.      Person B was given one lucky draw ticket. They won Rp180,000.        Who is happier?","You are going to a sold-out game of your favorite football team and you have an extra ticket. The price marked on the ticket is Rp10,000 but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is Rp10,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend","You are going to a sold-out game of your favorite football team and you have an extra ticket. The price marked on the ticket is Rp10,000 but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is Rp10,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was Rp20,000 instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was Rp20,000 instead? - If they are a stranger","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay Rp20,000 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted Rp20,000","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay Rp20,000 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay Rp20,000 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for Rp360,000 and a Bluetooth speaker for Rp40,000. The salesman informs you that the speaker you wish to buy is on sale for Rp30,000 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite football team, and you have an extra ticket. The price marked on the ticket is Rp10,000 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is Rp10,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite football team, and you have an extra ticket. The price marked on the ticket is Rp10,000 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is Rp10,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was Rp20,000 instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was Rp20,000 instead? - If they are a stranger","Person A received a fine and owed Rp250,000. The same day they received a second fine and owed Rp100,000.    Person B received a fine and owed Rp350,000.  Who is more upset?","Imagine that you are on your way to a music event and intend to buy a ticket worth Rp120,000. On entering the venue, you realize that you have lost Rp120,000 in cash.   Would you still pay Rp120,000 for a ticket?","You will take a bus trip with a friend who has upgraded their ticket to business class and has two coupons, each worth Rp50,000, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of Rp50,000 and received the other one for free. Just one coupon is required to upgrade your class on the current trip and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a raffle ticket and won Rp250,000. Also, they damaged one door in their apartment in an accident and had to pay the landlord Rp200,000.       Person B bought a lottery ticket and won Rp50,000.       Who is happier?","You are going to a sold-out game of your favorite football team and you have an extra ticket. The ticket’s face value price is Rp10,000 but you paid Rp20,000 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is Rp10,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","You are going to a sold-out game of your favorite football team and you have an extra ticket. The ticket’s face value price is Rp10,000 but you paid Rp20,000 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is Rp10,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was Rp20,000 instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was Rp20,000 instead? - If they are a stranger","You are about to purchase a jacket for Rp40,000 and a Bluetooth speaker for Rp360,000. The salesman informs you that the speaker you wish to buy is on sale for Rp350,000 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you Rp1,100,000 a year (i.e., roughly Rp20,000 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted Rp20,000","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you Rp1,100,000 a year (i.e., roughly Rp20,000 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you Rp1,100,000 a year (i.e., roughly Rp20,000 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","Person A damaged their car in a parking lot. They had to spend Rp450,000 to repair the damage. The same day they damaged the car, they won Rp50,000 in a raffle.       Person B damaged their car in a parking lot. They had to spend Rp400,000 to repair the damage.       Who is more upset?","Imagine that you are on your way to a music event with a ticket for which you have paid Rp120,000. On entering the venue, you discover that you have lost the ticket.    Would you pay Rp120,000 for another ticket?","You will take a bus trip with a friend who has upgraded their ticket to business class and has two coupons, each worth Rp50,000, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of Rp50,000 and received the other one for free. Just one coupon is required to upgrade your class on the current trip, and your friend offers you the coupon which they purchased so that you can upgrade as well.    What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small beach stall. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have Rp1,000,000 in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your annual household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-12 01:58:51,2022-09-12 02:23:39,IP Address,100,1487,True,2022-09-12 02:23:39,R_3ikYeIGkoBPFAdw,anonymous,EN,0.8999999761581421,I agree to participate in the research,A,10000,10000,10000,20000,40000,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",Yes,10000,15000,10000,20000,B,No,"Pay your friend Rp50,000 for the coupon.",B,15.000,20.000,15000,20000,Yes,4,"Strongly agree

1
",4,A,No,"Pay your friend Rp50,000 for the coupon.",2500,"More than Rp1,020,000",Less than today,False,I do not know,Very serious,Female,52,"More than Rp82,500,000",16,Indonesia,Indonesian,I allow you to use the responses I provided in this study.
2022-09-12 02:10:19,2022-09-12 02:41:22,IP Address,100,1862,True,2022-09-12 02:41:22,R_AbXG2tMqF2un757,anonymous,ID,0.8999999761581421,I agree to participate in the research,"No difference ",0,0,0,0,10000,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",No,10000,10000,20000,20000,No difference,No,Consider it a gift and not pay for the coupon.,No difference,20000,20000,30000,30000,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",No difference,No,"Pay some, but not the full amount for the coupon (for example, half the price).",10000,"More than Rp1,020,000",I do not know,I do not know,I do not know,Moderately serious,Female,24,Prefer not to answer,16,Indonesia,Indonesian,I allow you to use the responses I provided in this study.
2022-09-12 03:50:51,2022-09-12 04:00:20,IP Address,100,569,True,2022-09-12 04:00:21,R_2YbKbxlXkg4eZdf,anonymous,EN,0.8999999761581421,I agree to participate in the research,A,0,0,0,0,50000,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,10000,10000,10000,20000,A,Yes,"Pay your friend Rp50,000 for the coupon.",B,20000,20000,20000,20000,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",B,No,"Pay your friend Rp50,000 for the coupon.",30000,"More than Rp1,020,000",Less than today,False,They collapse,Absolutely serious,Male,44,Prefer not to answer,18,Indonesia,Indonesian,I allow you to use the responses I provided in this study.
2022-09-12 04:26:39,2022-09-12 04:49:47,IP Address,100,1388,True,2022-09-12 04:49:48,R_1ZdQMuewLDfQxMJ,anonymous,ID,1,I agree to participate in the research,B,0,10.000,0,20.000,100.000,3,4,2,No,10.000,10.000,0,20.000,A,No,Consider it a gift and not pay for the coupon.,B,20.000,20.000,20.000,20.000,No,2,2,4,B,No,"Pay your friend Rp50,000 for the coupon.",15000,"Less than Rp1,020,000",Less than today,I do not know,I do not know,Moderately serious,Male,46,"Rp41,250,000 - Rp55,000,000",0,Indonesia,Indonesian,I allow you to use the responses I provided in this study.
2022-09-12 03:58:10,2022-09-12 04:58:09,IP Address,100,3599,True,2022-09-12 04:58:09,R_30jmZbCeYSJRFJs,anonymous,ID,1,I agree to participate in the research,A,20000,50000,50000,100000,20009,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,20000,60000,40000,80000,B,Yes,Consider it a gift and not pay for the coupon.,B,20000,50000,40000,60000,Yes,"Strongly disagree

5
","Strongly agree

1
","Strongly agree

1
",A,Yes,Consider it a gift and not pay for the coupon.,10009,I do not know,More than today,True,They collapse,Very serious,Male,48,Prefer not to answer,19,Indonesia,Indonesian,I allow you to use the responses I provided in this study.
2022-09-12 05:41:33,2022-09-12 05:52:38,IP Address,100,664,True,2022-09-12 05:52:38,R_11aPEO9gfjnozFp,anonymous,ID,0.800000011920929,I agree to participate in the research,A,0,10.000,0,20.000,20.000,3,3,4,Yes,10.000,10.000,20.000,20.000,A,Yes,"Pay your friend Rp50,000 for the coupon.",B,0,10.000,0,20.000,Yes,3,3,2,B,Yes,"Pay your friend Rp50,000 for the coupon.",10.000,I do not know,Less than today,I do not know,I do not know,Very serious,Female,20,"Less than Rp27,500,000",17,Indonesia,Indonesian,I allow you to use the responses I provided in this study.
2022-09-12 05:36:01,2022-09-12 06:08:59,IP Address,100,1977,True,2022-09-12 06:08:59,R_2sYLcuT8EaqFNDz,anonymous,ID,0.8999999761581421,I agree to participate in the research,"No difference ",10.000,11.000,20.000,22.000,10.000,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",No,10.000,11.000,20.000,22.000,No difference,Yes,"Pay your friend Rp50,000 for the coupon.",No difference,10.000,22.000,20.000,22.000,No,4,"Strongly agree

1
","Strongly disagree

5
",A,Yes,Consider it a gift and not pay for the coupon.,10.000,"More than Rp1,020,000",More than today,True,They collapse,Absolutely serious,Male,46,"More than Rp82,500,000",25,Indonesia,Indonesian,I allow you to use the responses I provided in this study.
2022-09-12 06:03:07,2022-09-12 06:37:13,IP Address,100,2045,True,2022-09-12 06:37:13,R_2Y9fnBBOLxktNc7,anonymous,ID,1,I agree to participate in the research,"No difference ",0,10000,0,20000,100000,2,4,2,No,10000,10000,20000,20000,A,No,Consider it a gift and not pay for the coupon.,B,20000,30000,20000,30000,No,"Strongly disagree

5
",3,"Strongly disagree

5
",B,Yes,Consider it a gift and not pay for the coupon.,20000,"More than Rp1,020,000",Less than today,False,They remain unchanged,Absolutely serious,Male,40,"Less than Rp27,500,000",20,Indonesia,Indonesian,I allow you to use the responses I provided in this study.
