StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,We invite you to take part in an online study with the purpose of investigating h",Person A was given two tickets to the lottery. They won 400.000Đ with one ticket and 200.000Đ with the other ticket.      Person B was given a ticket to one lottery. They won 600.000Đ.        Who is happier?,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 50.000Đ but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is 50.000Đ. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 50.000Đ but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is 50.000Đ. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was 100.000Đ instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 100.000Đ instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 100.000Đ (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted 100.000Đ","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 100.000Đ (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 100.000Đ (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for 1.250.000Đ and a Bluetooth speaker for 150.000Đ. The salesman informs you that the speaker you wish to buy is on sale for 100.000Đ at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 50.000Đ which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is 50.000Đ. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 50.000Đ which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is 50.000Đ. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 100.000Đ instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 100.000Đ instead? - If they are a stranger,Person A received a fine and owed 1.000.000Đ. The same day they received a second fine and owed 500.000Đ.    Person B received a fine and owed 1.500.000Đ.  Who is more upset?,"Imagine that you are on your way to a music event and intend to buy a ticket worth 500.000Đ. On entering the venue, you realize that you have lost  500.000Đ in cash.   Would you still pay  500.000Đ for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 120.000Đ, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 120.000Đ and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won 1.000.000Đ. Also, they damaged one door in their apartment in an accident and had to pay the landlord 800.000Đ.       Person B bought a lottery ticket and won 200.000Đ.       Who is happier?",You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 50.000Đ but you paid 100.000Đ for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is 50.000Đ. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 50.000Đ but you paid 100.000Đ for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is 50.000Đ. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was 100.000Đ instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 100.000Đ instead? - If they are a stranger,"You are about to purchase a jacket for 150.000Đ and a Bluetooth speaker for 1.250.000Đ. The salesman informs you that the speaker you wish to buy is on sale for 1.200.000Đ at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 5.000.000Đ a year (i.e., roughly 100.000Đ per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted 100.000Đ","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 5.000.000Đ a year (i.e., roughly 100.000Đ per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 5.000.000Đ a year (i.e., roughly 100.000Đ per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind",Person A damaged their car in a parking lot. They had to spend 2.000.000Đ to repair the damage. The same day they damaged the car they won 250.000Đ in a raffle.       Person B damaged their car in a parking lot. They had to spend 1.750.000Đ to repair the damage.       Who is more upset?,"Imagine that you are on your way to a music event with a ticket for which you have paid 500.000Đ. On entering the venue, you discover that you have lost the ticket.    Would you pay 500.000Đ for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 120.000Đ, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 120.000Đ and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.    What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have 1.000.000Đ in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your monthly household income in average?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-13 10:09:04,2022-09-13 10:33:27,IP Address,100,1463,True,2022-09-13 10:33:27,R_3fPwgWtKrMbqD5f,anonymous,VI,0.8999999761581421,I agree to participate in the research,A,0,50000,0,100000,50000,"Strongly agree

1
","Strongly disagree

5
",2,No,0,200000,0,300000,A,Yes,Consider it a gift and not pay for the coupon.,B,100000,200000,100000,200000,No,4,4,2,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",5000,More than 1.020.000Đ,Less than today,I do not know,I do not know,Absolutely serious,Male,27,More than 15.000.000Đ,20,Viet Nam,Vietnamese,I allow you to use the responses I provided in this study.
2022-09-13 10:24:22,2022-09-13 10:53:12,IP Address,100,1729,True,2022-09-13 10:53:12,R_3qjMczczcX0SRij,anonymous,VI,1,I agree to participate in the research,"No difference ",50000,50000,100000,100000,30000,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,50000,50000,100000,100000,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,100000,100000,100000,100000,No,2,4,"Strongly agree

1
",No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",20000,More than 1.020.000Đ,Less than today,False,They remain unchanged,Very serious,Male,34,More than 15.000.000Đ,22,Viet Nam,Vietnamese,I allow you to use the responses I provided in this study.
2022-09-13 10:43:24,2022-09-13 11:17:13,IP Address,100,2028,True,2022-09-13 11:17:14,R_2DMOkjRiSlU4Ycn,anonymous,VI,0.8999999761581421,I agree to participate in the research,"No difference ",50000,100000,100000,1000000,20000,"Strongly agree

1
","Strongly agree

1
","Strongly agree

1
",Yes,50000,100000,100000,200000,A,Yes,Consider it a gift and not pay for the coupon.,B,50000,100000,100000,200000,No,2,2,2,No difference,Yes,Consider it a gift and not pay for the coupon.,20000,More than 1.020.000Đ,I do not know,I do not know,There is no relationship,Moderately serious,Male,34,10.000.000Đ - 12.500.000Đ,23,Viet Nam,Vietnamese,I allow you to use the responses I provided in this study.
2022-09-13 12:11:01,2022-09-13 12:30:15,IP Address,100,1154,True,2022-09-13 12:30:16,R_1rwwfS3Vp01676E,anonymous,VI,1,I agree to participate in the research,A,0,500000,0,1000000,20,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",Yes,50000,500000,100000,500000,A,No,Consider it a gift and not pay for the coupon.,B,150000,1000000,100000,1000000,Yes,"Strongly agree

1
","Strongly disagree

5
",2,B,No,Consider it a gift and not pay for the coupon.,10000,More than 1.020.000Đ,Less than today,I do not know,I do not know,Absolutely serious,Male,20,Less than 5.000.000Đ,14,Viet Nam,Vietnamese,I allow you to use the responses I provided in this study.
2022-09-13 14:59:23,2022-09-13 15:35:23,IP Address,100,2159,True,2022-09-13 15:35:24,R_1Icof7kPV0X30kw,anonymous,VI,0.8999999761581421,I agree to participate in the research,"No difference ",40000,70000,80000,100000,100000,2,4,2,Yes,50000,1000000,100000,1000000,A,Yes,Pay your friend 120.000Đ for the coupon.,B,100000,1000000,100000,1000000,No,4,2,2,B,Yes,Pay your friend 120.000Đ for the coupon.,20000,More than 1.020.000Đ,Less than today,False,I do not know,Very serious,Female,26,10.000.000Đ - 12.500.000Đ,19,Viet Nam,Vietnamese,I allow you to use the responses I provided in this study.
2022-09-13 17:15:44,2022-09-13 17:33:08,IP Address,100,1044,True,2022-09-13 17:33:10,R_2CjKjQn7SAxmpdo,anonymous,VI,0.8999999761581421,I agree to participate in the research,"No difference ",0,0,0,0,100000,4,3,"Strongly agree

1
",No,0,50000,0,100000,A,Yes,Pay your friend 120.000Đ for the coupon.,B,0,100000,0,100000,No,4,3,"Strongly agree

1
",No difference,Yes,Pay your friend 120.000Đ for the coupon.,30000,More than 1.020.000Đ,More than today,I do not know,I do not know,Absolutely serious,Female,35,More than 15.000.000Đ,25,Viet Nam,Vietnamese,I allow you to use the responses I provided in this study.
2022-09-13 20:45:01,2022-09-13 20:55:05,IP Address,100,604,True,2022-09-13 20:55:05,R_2duPwtHicTdHhrs,anonymous,VI,1,I agree to participate in the research,"No difference ",50.000,50.000,100.000,100.000,100.000,"Strongly agree

1
","Strongly agree

1
","Strongly disagree

5
",Yes,50.000,50.000,100.000,100.000,No difference,Yes,Consider it a gift and not pay for the coupon.,B,50.000,50.000,100.000,100.000,No,"Strongly agree

1
","Strongly agree

1
","Strongly disagree

5
",B,Yes,Consider it a gift and not pay for the coupon.,10.000,More than 1.020.000Đ,I do not know,I do not know,I do not know,Very serious,Male,38,5.000.000Đ -  7.500.000Đ,14,Viet Nam,Vietnamese,I allow you to use the responses I provided in this study.
2022-09-13 20:29:29,2022-09-13 21:04:03,IP Address,100,2074,True,2022-09-13 21:04:04,R_1NaWhFxro76chuM,anonymous,VI,1,I agree to participate in the research,"No difference ",0,100000,0,200000,200000,"Strongly agree

1
",3,4,Yes,50000,50000,100000,100000,A,Yes,Pay your friend 120.000Đ for the coupon.,B,100000,200000,100000,200000,Yes,2,2,2,No difference,Yes,Pay your friend 120.000Đ for the coupon.,50000,More than 1.020.000Đ,Less than today,I do not know,I do not know,Very serious,Female,35,More than 15.000.000Đ,6,Viet Nam,Vietnamese,I allow you to use the responses I provided in this study.
