"Country","subject","se_theta","theta"
"Austria","R_YbiZdXhcwrYYiUF",0.175987157204414,0.735422663708184
"Brazil","R_3hrM2CvmFEDm9C0",0.192365958539088,0.533298479618049
"Canada","R_qI4svyd7HJzdeoh",0.175625043328552,0.453999223114759
"China","R_3jZ025TrYVjDlpy",0.186063027808119,0.361315323495235
"Denmark","R_2PA3eHPQFDriHXk",0.229834843446525,0.356839856123368
"Egypt","R_27Vu3y0Faj0ccyw",0.177292832731647,0.554842509182765
"France","R_0GKWRjUACrvdTcl",0.171796067734069,0.340926586970593
"Germany","R_V4rmycwdkAoTwhr",0.174786650332136,0.49601053798085
"India","R_2foOcxU0mHFGqZS",0.187137702871018,0.40668984800406
"Indonesia","R_3ikYeIGkoBPFAdw",0.178574906072691,0.79571900129351
"Italy","R_O0RcsWVzlOZPLgJ",0.170022045666905,1.1274327272036
"Lithuania","R_1QyZ37aXw38lHCl",0.180156476531904,0.405356559939808
"Morocco","R_2YfEuZCXi8Rrp1t",0.188749036974017,0.464909374723993
"Netherlands","R_3svmPvbfIiRi50I",0.183784100902882,0.627189212768148
"Portugal","R_3khPgyF56XiMVLB",0.171517132548083,0.0738656477771273
"Romania","R_23ZTmojlWnhg0G9",0.198778205060043,0.24342706344774
"Spain","R_3peThD4mkToCpHX",0.168220701840507,0.404620442123322
"Sweden","R_1CklogaJQVJa9Vj",0.187317162316339,0.677879708429157
"Switzerland","R_3gXxk5XWqOP5GPe",0.171095015337982,0.116877648541571
"USA","R_1Ho5RtIvWPZkpU0",0.181992737906677,-0.0658652550159107
"Vietnam","R_3fPwgWtKrMbqD5f",0.179284291400159,0.693147180559945
