"Country","subject","se_theta","theta"
"Austria","R_YbiZdXhcwrYYiUF",0.172931592337049,0.65585318152894
"Brazil","R_3hrM2CvmFEDm9C0",0.21688023662159,0.231774440513485
"Canada","R_qI4svyd7HJzdeoh",0.174856262809423,0.281951397742796
"China","R_3jZ025TrYVjDlpy",0.195714316204133,-0.42550585899161
"Denmark","R_2PA3eHPQFDriHXk",0.208166599946613,1.08074016390199
"Egypt","R_27Vu3y0Faj0ccyw",0.182952774496317,0.744623877057134
"France","R_0GKWRjUACrvdTcl",0.174233013109292,0.824271833153903
"Germany","R_V4rmycwdkAoTwhr",0.178574906072691,1.42720426386402
"India","R_2foOcxU0mHFGqZS",0.179447089309454,-0.252860557509745
"Indonesia","R_3ikYeIGkoBPFAdw",0.180563798189243,0.191498794099766
"Italy","R_O0RcsWVzlOZPLgJ",0.173914177138022,0.388325598231468
"Lithuania","R_1QyZ37aXw38lHCl",0.195433989992643,0.996096725142515
"Morocco","R_2YfEuZCXi8Rrp1t",0.175432366316809,0.309485061135774
"Netherlands","R_3svmPvbfIiRi50I",0.198597567429261,1.38515085041781
"Portugal","R_3khPgyF56XiMVLB",0.192686369855361,0.761058386176156
"Romania","R_23ZTmojlWnhg0G9",0.225479441620011,0.155170567728004
"Spain","R_3peThD4mkToCpHX",0.194067868701487,0.693147180559945
"Sweden","R_1CklogaJQVJa9Vj",0.20923384488012,1.00522528370625
"Switzerland","R_3gXxk5XWqOP5GPe",0.179965849137529,0.48873170180757
"USA","R_1Ho5RtIvWPZkpU0",0.179350919832247,0.583162651020251
"Vietnam","R_3fPwgWtKrMbqD5f",0.182093093600065,0.16336364304934
