StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"INFORMATION AND CONSENT FORM    Study Title: Multi-cultural investigation of the Mental Accounting effect  Researcher: Caroline Roux  Researcher’s Contact Information: caroline.roux@concordia.ca  Project Leader: Enrico Rubaltelli  Project Leader’s Contact Information: jdmlab.multicountry@gmail.com  Source of funding for the study: N/A    You are being invited to participate in the research study mentioned above. This form provides information about what participating would mean. Please read it carefully before deciding if you want to participate or not. If there is anything you do not understand, or if you want more information, please ask the researcher.    A. PURPOSE  - The purpose of this research is to replicate previous studies that investigated the mental accounting effect.    B. PROCEDURES  - If you participate, you will be asked to answer questions about various scenarios, financial literacy, and demographic information.  - You understand that you will not need to provide any identifying information in this study.  - In total, participating in this study will take 15 minutes.    C. RISKS AND BENEFITS  - You understand that there are no known risks associated with participating in this study. Participants who have completed similar studies in the past did not report any adverse effects.  - You will not receive any compensation for participating in this study. This research is not intended to benefit you personally.    D. CONFIDENTIALITY  - We will gather the following information as part of this research: your answers to the study’s questions. We will not allow anyone to access the information, except people directly involved in conducting the research. We will only use the information for the purposes of the research described in this form.  - You understand that your participation in this study will be anonymous. This means that it will not be possible to make a link between you and the information you provide.  - We will protect the information by restricting the access to the dataset to the members of the research team only. Data will be stored on Qualtrics’ servers, password-protected computers, and password-protected cloud services. Note that privacy cannot be guaranteed for data files uploaded to cloud services located on U.S. or European servers as they are subject to the USA Patriot Act, General Data Protection Regulation, and other local privacy laws.  - We intend to publish the results of the research. However, it will not be possible to identify you in the published results.  - We will securely store your anonymous information after the end of the study for possible replication of the findings or secondary use of your anonymous data in the future.    F. CONDITIONS OF PARTICIPATION  - You do not have to participate in this research. It is purely your decision and you can stop at any time. Should you wish to withdraw your participation during the study, simply stop answering the questionnaire and your incomplete data will be removed from the dataset. Should you wish to withdraw your participation by the end of the study, you will be able to indicate as such in the last question of the questionnaire. Note that you cannot withdraw your participation once you have completed and closed the study because your recorded data will be anonymous; we will thus be unable to remove your recorded data from the dataset.  - You will not be offered any compensatory indemnity for participating in this research.  - There are no negative consequences for not participating, stopping in the middle, or asking us not to use your information.    G. PARTICIPANT’S DECLARATION  I have read and understood this form. I have had the chance to ask questions and any questions have been answered. I agree to participate in this research under the conditions described.",Person A was given two tickets to the lottery. They won $150 with one ticket and $50 with the other ticket.      Person B was given a ticket to one lottery. They won $200.        Who is happier?,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is $15 but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is $15 but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $15 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted $15","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $15 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $15 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for $450 and a Bluetooth speaker for $50. The salesman informs you that the speaker you wish to buy is on sale for $30 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is $15 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is $15 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a stranger,Person A received a fine and owed $300. The same day they received a second fine and owed $150.    Person B received a fine and owed $450.  Who is more upset?,"Imagine that you are on your way to a music event and intend to buy a ticket worth $140. On entering the venue, you realize that you have lost $140 in cash.    Would you still pay $140 for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth $50, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of $50 and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won $300. Also, they damaged one door in their apartment in an accident and had to pay the landlord $250.       Person B bought a lottery ticket and won $50.       Who is happier?",You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is $15 but you paid $30 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is $15 but you paid $30 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a stranger,"You are about to purchase a jacket for $50 and a Bluetooth speaker for $450. The salesman informs you that the speaker you wish to buy is on sale for $430 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $700 a year (i.e., roughly $15 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted $15","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $700 a year (i.e., roughly $15 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $700 a year (i.e., roughly $15 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind",Person A damaged their car in a parking lot. They had to spend $550 to repair the damage. The same day they damaged the car they won $50 in a raffle.       Person B damaged their car in a parking lot. They had to spend $500 to repair the damage.       Who is more upset?,"Imagine that you are on your way to a music event with a ticket for which you have paid $140. On entering the venue, you discover that you have lost the ticket.    Would you pay $140 for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth $50, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of $50 and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.    What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have $100 in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your net (after tax) annual household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-13 19:01:32,2022-09-13 19:13:17,IP Address,100,705,True,2022-09-13 19:13:19,R_qI4svyd7HJzdeoh,anonymous,EN,1,I AGREE to participate in the study described above.,"No difference ",0,0,0,0,5,"Strongly agree

1
","Strongly agree

1
","Strongly disagree

5
",Yes,15,15,30,30,A,No,Consider it a gift and not pay for the coupon.,A,15,15,30,30,Yes,4,"Strongly agree

1
","Strongly disagree

5
",B,No,Consider it a gift and not pay for the coupon.,5,More than $102,Less than today,False,They collapse,Very serious,Female,35,"$70,000 - $87,499",30,Canada,English,I allow you to use the responses I provided in this study.
2022-09-13 19:03:06,2022-09-13 19:20:04,IP Address,100,1017,True,2022-09-13 19:20:06,R_2Bs7bZRmyUl0RcL,anonymous,EN,1,I AGREE to participate in the study described above.,A,0,0,0,0,6,3,3,3,No,15,15,15,15,No difference,No,Consider it a gift and not pay for the coupon.,A,15,15,30,30,No,4,2,4,B,No,Consider it a gift and not pay for the coupon.,6,Exactly $102,I do not know,I do not know,I do not know,Moderately serious,Female,51,"$70,000 - $87,499",19,Canada,English,I allow you to use the responses I provided in this study.
2022-09-13 19:37:29,2022-09-13 19:45:40,IP Address,100,490,True,2022-09-13 19:45:40,R_1oAnqXkhBEGtmkQ,anonymous,EN,0.8999999761581421,I AGREE to participate in the study described above.,"No difference ",15,15,30,30,10,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",No,15,15,30,30,No difference,Yes,Consider it a gift and not pay for the coupon.,No difference,15,15,30,30,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",No difference,Yes,Pay your friend $50 for the coupon.,5,More than $102,Less than today,False,They collapse,Absolutely serious,Female,41,"More than $105,000",13,Canada,English,I allow you to use the responses I provided in this study.
2022-09-13 20:06:11,2022-09-13 20:15:13,IP Address,100,541,True,2022-09-13 20:15:13,R_2ATl2x0BiwXZv6k,anonymous,EN,1,I AGREE to participate in the study described above.,"No difference ",15,20,30,35,15,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,10,15,20,30,B,No,Consider it a gift and not pay for the coupon.,B,30,30,30,30,Yes,4,4,"Strongly agree

1
",B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",5.00,More than $102,I do not know,False,I do not know,Very serious,Female,34,"$87,500 - $104,999",14,Canada,English,I allow you to use the responses I provided in this study.
2022-09-13 20:44:02,2022-09-13 20:57:53,IP Address,100,830,True,2022-09-13 20:57:53,R_23WbTMCF6J4iDv1,anonymous,EN,0.8999999761581421,I AGREE to participate in the study described above.,A,0,15,0,30,10,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,0,15,0,30,A,Yes,Consider it a gift and not pay for the coupon.,B,15,15,15,30,No,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",B,No,Consider it a gift and not pay for the coupon.,3,More than $102,Less than today,False,They remain unchanged,Moderately serious,Female,38,"More than $105,000",20,Canada,English,I allow you to use the responses I provided in this study.
2022-09-13 20:55:08,2022-09-13 21:03:20,IP Address,100,492,True,2022-09-13 21:03:21,R_11c1EDEKH2d7eQS,anonymous,EN,1,I AGREE to participate in the study described above.,B,0,0,0,0,10,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,0,15,0,30,No difference,No,Pay your friend $50 for the coupon.,B,0,30,0,30,No,3,2,"Strongly agree

1
",A,No,Pay your friend $50 for the coupon.,10,More than $102,Less than today,False,They collapse,Very serious,Female,50,"More than $105,000",18,Canada,English,I allow you to use the responses I provided in this study.
2022-09-13 21:06:45,2022-09-13 21:17:26,IP Address,100,640,True,2022-09-13 21:17:27,R_3PSSiJCiWo84Gfd,anonymous,EN,1,I AGREE to participate in the study described above.,A,0,15,0,30,10,3,3,3,Yes,15,15,15,30,A,No,Pay your friend $50 for the coupon.,A,30,30,30,30,Yes,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",B,No,Pay your friend $50 for the coupon.,5,More than $102,Less than today,False,I do not know,Absolutely serious,Female,54,"More than $105,000",15,Canada,English,I allow you to use the responses I provided in this study.
2022-09-13 21:06:50,2022-09-13 21:21:23,IP Address,100,872,True,2022-09-13 21:21:25,R_31BDtUudxV5NvGM,anonymous,EN,1,I AGREE to participate in the study described above.,A,0,15,0,30,15,"Strongly agree

1
","Strongly disagree

5
",4,No,0,15,0,15,A,No,Consider it a gift and not pay for the coupon.,B,0,30,0,30,No,4,3,"Strongly agree

1
",B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",10,More than $102,Less than today,False,They collapse,Absolutely serious,Male,40,"More than $105,000",17,Canada,English,I allow you to use the responses I provided in this study.
