StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,    We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.    Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.    You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.    Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.    I DECLARE THAT  • I am 18 years old or older  • I take part in this project voluntarily  • I am aware of the objectives and aims of this research project  • I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes  • I am aware that it is not possible to withdraw the data I have provided once it has been submitted.    For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.","Person A was given two tickets to the lucky draw. They won 160,000 Tomans with one ticket and 80,000 Tomans with the other ticket.      Person B was given a ticket to one lucky draw. They won 240,000 Tomans.        Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 15,000 Tomans but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is 15,000 Tomans. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 15,000 Tomans but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is 15,000 Tomans. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was 30,000 Tomans instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was 30,000 Tomans instead? - If they are a stranger","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 30,000 Tomans (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted 30,000 Tomans","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 30,000 Tomans (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 30,000 Tomans (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for 490,000 Tomans and a Bluetooth speaker for 60,000 Tomans. The salesman informs you that the speaker you wish to buy is on sale for 40,000 Tomans at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 15,000 Tomans which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is 15,000 Tomans. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 15,000 Tomans which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is 15,000 Tomans. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was 30,000 Tomans instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was 30,000 Tomans instead? - If they are a stranger","Person A received a fine and owed 320,000 Tomans. The same day they received a second fine and owed 160,000 Tomans.    Person B received a fine and owed 480,000 Tomans.  Who is more upset?","Imagine that you are on your way to a music event and intend to buy a ticket worth 160,000 Tomans. On entering the venue, you realize that you have lost 160,000 Tomans in cash.   Would you still pay 160,000 Tomans for a ticket?","You are travelling with a friend who has upgraded their bus ticket to VIP class and has two coupons, each worth 50,000 Tomans, which could be used to upgrade your ticket from regular to VIP class. They purchased one coupon for the standard price of 50,000 Tomans and received the other one for free. Just one coupon is required to upgrade your ticket on the current bus and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a lucky draw ticket and won 315,000 Tomans. Also, they damaged one door in their apartment in an accident and had to pay the landlord 250,000 Tomans.       Person B bought a lucky draw ticket and won 65,000 Tomans.       Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 15,000 Tomans but you paid 30,000 Tomans for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is 15,000 Tomans. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 15,000 Tomans but you paid 30,000 Tomans for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is 15,000 Tomans. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was 30,000 Tomans instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was 30,000 Tomans instead? - If they are a stranger","You are about to purchase a jacket for 60,000 Tomans and a Bluetooth speaker for 490,000 Tomans. The salesman informs you that the speaker you wish to buy is on sale for 470,000 Tomans at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 1,550,000 Tomans a year (i.e., roughly 30,000 Tomans per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted 30,000 Tomans","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 1,550,000 Tomans a year (i.e., roughly 30,000 Tomans per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 1,550,000 Tomans a year (i.e., roughly 30,000 Tomans per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","Person A damaged their car in a parking lot. They had to spend 630,000 Tomans to repair the damage. The same day they damaged the car they won 80,000 Tomans in a raffle.       Person B damaged their car in a parking lot. They had to spend 550,000 Tomans to repair the damage.       Who is more upset?","Imagine that you are on your way to a music event with a ticket for which you have paid 160,000 Tomans. On entering the venue, you discover that you have lost the ticket.    Would you pay 160,000 Tomans for another ticket?","You are travelling with a friend who has upgraded their bus ticket to VIP class and has two coupons, each worth 50,000 Tomans, which could be used to upgrade your ticket from regular to VIP class. They purchased one coupon for the standard price of 50,000 Tomans and received the other one for free. Just one coupon is required to upgrade your ticket on the current bus and your friend offers you the coupon which he purchased so that you can upgrade your ticket as well.  What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have 100,000 Tomans in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your monthly household income?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-13 05:18:50,2022-09-13 05:50:38,IP Address,100,1908,True,2022-09-13 05:50:38,R_ulYBlU8qWVVXI77,anonymous,FA,1,I agree to participate in the research,"No difference ",0,15000,15000,30000,25000,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,15000,15000,30000,30000,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",No difference,15000,30000,30000,30000,No,"Strongly agree

1
",4,2,A,Yes,"Pay your friend 50,000 Tomans for the coupon.",25000,"More than 102,000 Tomans",Less than today,I do not know,They collapse,Very serious,Male,23,"More than 9,300,000 Tomans",17,Iran,Persian,I allow you to use the responses I provided in this study.
2022-09-15 02:47:26,2022-09-15 03:01:48,IP Address,100,861,True,2022-09-15 03:01:49,R_2TuZ86fddbo77c7,anonymous,FA,0.8999999761581421,I agree to participate in the research,A,15000,20000,30000,35000,20000,2,4,4,Yes,15000,20000,30000,35000,A,Yes,Consider it a gift and not pay for the coupon.,B,15000,15000,30000,30000,Yes,3,3,4,B,Yes,"Pay your friend 50,000 Tomans for the coupon.",15000,"More than 102,000 Tomans",Less than today,False,I do not know,Very serious,Male,21,"More than 9,300,000 Tomans",15,Iran,Turkish,I allow you to use the responses I provided in this study.
2022-09-15 03:10:21,2022-09-15 03:20:15,IP Address,100,594,True,2022-09-15 03:20:15,R_vIWMxpZpctLkW1H,anonymous,FA,0.8999999761581421,I agree to participate in the research,A,10000,15000,10000,30000,30000,4,2,3,No,0,0,0,0,A,Yes,Consider it a gift and not pay for the coupon.,B,5000,15000,10000,30000,No,4,4,3,A,Yes,Consider it a gift and not pay for the coupon.,15000,"More than 102,000 Tomans",Less than today,I do not know,I do not know,Moderately serious,Male,24,"More than 9,300,000 Tomans",17,Iran,Persian,I allow you to use the responses I provided in this study.
2022-09-15 03:12:01,2022-09-15 03:27:24,IP Address,100,922,True,2022-09-15 03:27:24,R_3kBNx3u7vxB0qCi,anonymous,FA,0.8999999761581421,I agree to participate in the research,A,15,20,30,40,30000,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,15,20,30,40,A,No,"Pay your friend 50,000 Tomans for the coupon.",B,15,30,30,40,No,2,"Strongly disagree

5
","Strongly disagree

5
",B,No,"Pay your friend 50,000 Tomans for the coupon.",15000,"More than 102,000 Tomans",Less than today,I do not know,They collapse,Absolutely serious,Female,29,"More than 9,300,000 Tomans",18,Iran,Persian,I allow you to use the responses I provided in this study.
2022-09-15 03:09:10,2022-09-15 03:34:30,IP Address,100,1519,True,2022-09-15 03:34:30,R_3fGLQdeIkztjutI,anonymous,FA,1,I agree to participate in the research,B,0,15000,0,30000,15000,"Strongly agree

1
",4,3,No,0,0,0,0,A,No,"Pay your friend 50,000 Tomans for the coupon.",B,15000,15000,30000,30000,Yes,"Strongly agree

1
",4,3,B,No,"Pay your friend 50,000 Tomans for the coupon.",7000,"More than 102,000 Tomans",Less than today,I do not know,I do not know,Slightly serious,Female,25,"More than 9,300,000 Tomans",18,Iran,Persian,I allow you to use the responses I provided in this study.
2022-09-15 03:26:35,2022-09-15 03:41:08,IP Address,100,873,True,2022-09-15 03:41:09,R_3P4VgP1MmI37Imy,anonymous,FA,1,I agree to participate in the research,B,15,15,15,15,20000,2,4,4,Yes,0,0,0,0,A,Yes,Consider it a gift and not pay for the coupon.,B,15,15,15,15,Yes,4,2,4,A,Yes,Consider it a gift and not pay for the coupon.,20000,"More than 102,000 Tomans",Less than today,True,I do not know,Moderately serious,Male,17,"More than 9,300,000 Tomans",11,Iran,Persian,I allow you to use the responses I provided in this study.
2022-09-15 03:35:40,2022-09-15 03:46:26,IP Address,100,645,True,2022-09-15 03:46:26,R_2CwSCMSWkHFKqpX,anonymous,FA,0.8999999761581421,I agree to participate in the research,A,15000,30000,30000,40000,20000,3,3,2,No,0,15000,0,30000,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,30000,30000,30000,30000,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",10000,"More than 102,000 Tomans",Less than today,False,I do not know,Very serious,Female,22,"More than 9,300,000 Tomans",16,Iran,Persian,I allow you to use the responses I provided in this study.
2022-09-15 03:42:15,2022-09-15 03:54:04,IP Address,100,708,True,2022-09-15 03:54:04,R_3rCCfB3KNdFiNtn,anonymous,FA,1,I agree to participate in the research,A,15000,30000,25000,50000,50000,"Strongly agree

1
",4,4,No,20000,30000,40000,60000,A,Yes,Consider it a gift and not pay for the coupon.,B,40000,80000,40000,80000,No,2,4,2,A,Yes,"Pay your friend 50,000 Tomans for the coupon.",40000,"More than 102,000 Tomans",Less than today,False,I do not know,Very serious,Male,25,"More than 9,300,000 Tomans",18,Iran,Persian,I allow you to use the responses I provided in this study.
