StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,    We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.    Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.    You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study. Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.     I DECLARE THAT  ● I am 18 years old or older  ● I take part in this project voluntarily  ● I am aware of the objectives and aims of this research project  ● I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes  ● I am aware that it is not possible to withdraw the data I have provided once it has been submitted.    For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.","Person A was given two tickets to the lottery. They won ₩60,000 with one ticket and ₩30,000 with the other ticket.      Person B was given a ticket to one lottery. They won ₩90,000.        Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is ₩6,000 but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is ₩6,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is ₩6,000 but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is ₩6,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was ₩12,000 instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was ₩12,000 instead? - If they are a stranger","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay ₩20,000 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted ₩20,000","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay ₩20,000 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay ₩20,000 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for ₩185,000 and a Bluetooth speaker for ₩20,000. The salesman informs you that the speaker you wish to buy is on sale for ₩15,000 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is ₩6,000 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is ₩6,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is ₩6,000 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is ₩6,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was ₩12,000 instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was ₩12,000 instead? - If they are a stranger","Person A received a fine and owed ₩100,000. The same day they received a second fine and owed ₩50,000.    Person B received a fine and owed ₩150,000.  Who is more upset?","Imagine that you are on your way to a music event and intend to buy a ticket worth ₩60,000. On entering the venue, you realize that you have lost ₩60,000 in cash.   Would you still pay ₩60,000 for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth ₩20,000, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of ₩20,000 and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won ₩120,000. Also, they damaged one door in their apartment in an accident and had to pay the landlord ₩100,000.       Person B bought a lottery ticket and won ₩20,000.       Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is ₩6,000 but you paid ₩12,000 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is ₩6,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is ₩6,000 but you paid ₩12,000 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is ₩6,000. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger","What price would you have asked for if you found out that the ticket’s face value price was ₩12,000 instead? - If they are a friend","What price would you have asked for if you found out that the ticket’s face value price was ₩12,000 instead? - If they are a stranger","You are about to purchase a jacket for ₩20,000 and a Bluetooth speaker for ₩185,000. The salesman informs you that the speaker you wish to buy is on sale for ₩180,000 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you ₩1,000,000 a year (i.e., roughly ₩20,000 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted ₩20,000","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you ₩1,000,000 a year (i.e., roughly ₩20,000 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you ₩1,000,000 a year (i.e., roughly ₩20,000 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","Person A damaged their car in a parking lot. They had to spend ₩250,000 to repair the damage. The same day they damaged the car they won ₩30,000 in a raffle.       Person B damaged their car in a parking lot. They had to spend ₩220,000 to repair the damage.       Who is more upset?","Imagine that you are on your way to a music event with a ticket for which you have paid ₩60,000. On entering the venue, you discover that you have lost the ticket.    Would you pay ₩60,000 for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth ₩20,000, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of ₩20,000, and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.    What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have ₩100,000 in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your annual household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-13 15:47:48,2022-09-13 15:57:14,IP Address,100,566,True,2022-09-13 15:57:15,R_3wVloZ8kNThd4GZ,anonymous,KO,0.8999999761581421,I agree to participate in the research,"No difference ",0,5000,0,10000,10000,"Strongly agree

1
","Strongly disagree

5
",4,No,3000,5000,6000,10000,No difference,Yes,"Pay your friend ₩20,000 for the coupon.",A,6000,12000,6000,12000,No,"Strongly agree

1
","Strongly disagree

5
",2,B,Yes,"Pay your friend ₩20,000, for the coupon.",5000,"More than ₩102,000",Less than today,I do not know,They collapse,Very serious,Male,31,"More than ₩42,000,000",16,South Korea,Korean,I allow you to use the responses I provided in this study.
2022-09-13 16:13:36,2022-09-13 16:27:40,IP Address,100,844,True,2022-09-13 16:27:40,R_3jZFbWZEEAJ7i9S,anonymous,KO,1,I agree to participate in the research,A,0,6000,0,12000,8000,"Strongly agree

1
",4,2,Yes,3000,6000,10000,12000,A,Yes,Consider it a gift and not pay for the coupon.,B,6000,12000,12000,12000,No,3,3,3,No difference,No,Consider it a gift and not pay for the coupon.,5000,"More than ₩102,000",Less than today,I do not know,I do not know,Absolutely serious,Female,29,"₩14,000,000 - ₩21,000,000",18,South Korea,Korean,I allow you to use the responses I provided in this study.
2022-09-13 17:56:53,2022-09-13 18:15:21,IP Address,100,1107,True,2022-09-13 18:15:21,R_28FDN49ZZiFGgbh,anonymous,KO,0.8999999761581421,I agree to participate in the research,"No difference ",0,6000,0,12000,9000,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,3000,6000,5000,12000,A,Yes,Consider it a gift and not pay for the coupon.,B,6000,12000,12000,12000,Yes,"Strongly agree

1
",4,"Strongly agree

1
",No difference,No,"Pay your friend ₩20,000, for the coupon.",4000,"More than ₩102,000",Less than today,I do not know,They collapse,Absolutely serious,Female,25,"More than ₩42,000,000",18,South Korea,Korean,I allow you to use the responses I provided in this study.
2022-09-13 16:42:33,2022-09-13 19:09:20,IP Address,100,8807,True,2022-09-13 19:09:21,R_0uCE9OR45Kd2rAt,anonymous,KO,0.8999999761581421,I agree to participate in the research,"No difference ",7000,9000,13000,15000,5000,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,7000,9000,13000,15000,No difference,No,"Pay some, but not the full amount for the coupon (for example, half the price).",No difference,7000,9000,13000,15000,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No difference,No,"Pay some, but not the full amount for the coupon (for example, half the price).",700,"More than ₩102,000",Less than today,I do not know,They collapse,Very serious,Female,25,"₩28,000,000 - ₩35,000,000",16,South Korea,Korean,"I do NOT allow you to use the responses I provided in this study, and I want them to be deleted."
2022-09-13 19:57:11,2022-09-13 20:07:30,IP Address,100,619,True,2022-09-13 20:07:31,R_vOa06PCVqLkKSrL,anonymous,KO,1,I agree to participate in the research,"No difference ",0,6000,0,12000,20000,2,4,2,No,0,6000,0,12000,A,No,Consider it a gift and not pay for the coupon.,B,0,12000,0,12000,No,4,4,2,B,No,Consider it a gift and not pay for the coupon.,10000,"More than ₩102,000",Less than today,False,They collapse,Very serious,Male,54,"More than ₩42,000,000",16,South Korea,Korean,I allow you to use the responses I provided in this study.
2022-09-13 20:38:22,2022-09-13 20:46:52,IP Address,100,510,True,2022-09-13 20:46:54,R_qEjDzrZZNsUkuRj,anonymous,KO,1,I agree to participate in the research,"No difference ",0,10000,0,20000,20000,"Strongly agree

1
",4,"Strongly disagree

5
",Yes,6000,10000,12000,20000,No difference,Yes,Consider it a gift and not pay for the coupon.,B,12000,18000,12000,20000,No,4,4,2,A,Yes,Consider it a gift and not pay for the coupon.,5000,"More than ₩102,000",Less than today,False,I do not know,Moderately serious,Male,31,"₩14,000,000 - ₩21,000,000",23,United States of America,Korean,I allow you to use the responses I provided in this study.
2022-09-13 17:52:27,2022-09-14 03:51:42,IP Address,100,35955,True,2022-09-14 03:51:43,R_2rU5D5eiYUo3vRi,anonymous,KO,0.8999999761581421,I agree to participate in the research,A,6000,10000,12000,20000,12000,2,4,4,No,7000,10000,12000,20000,A,Yes,Consider it a gift and not pay for the coupon.,B,12000,15000,13000,20000,No,3,4,2,B,No,Consider it a gift and not pay for the coupon.,3000,"More than ₩102,000",Less than today,False,I do not know,Very serious,Female,30,"₩35,000,000 - ₩42,000,000",16,South Korea,Korean,I allow you to use the responses I provided in this study.
2022-09-14 03:40:22,2022-09-14 03:52:45,IP Address,100,743,True,2022-09-14 03:52:45,R_sjpDWFlw0304reN,anonymous,KO,0.8999999761581421,I agree to participate in the research,B,6000,12000,12000,24000,20000,2,4,4,No,6000,2000,12000,24000,B,Yes,"Pay your friend ₩20,000 for the coupon.",B,6000,11000,12000,12000,No,3,3,4,B,Yes,"Pay your friend ₩20,000, for the coupon.",5000,"More than ₩102,000",Less than today,True,There is no relationship,Very serious,Female,44,"More than ₩42,000,000",18,South Korea,Korean,I allow you to use the responses I provided in this study.
