"","subject","Gender","Age","Income","numeric_income","Education","Country","FinancialLiteracy","condition","response"
"1","R_YbiZdXhcwrYYiUF","Female",50,"Prefer not to answer",NA,11,"Austria",2,"free",0
"2","R_1puPa4dqnAjWUnB","Male",66,"50000 € - 60000 €",4,18,"Austria",4,"free",0
"3","R_eexGPMWuZPgFuH7","Female",27,"20000 € - 30000 €",1,17,"Austria",3,"free",0
"4","R_1FK6nwfwT9fshfd","Female",22,"Less than 20000€",0,12,"Austria",0,"free",1
"5","R_2VK03IlPZz32bZw","Female",25,"Less than 20000€",0,19,"Austria",3,"free",0
"6","R_3GrkyYBOKbwbJhp","Male",21,"Less than 20000€",0,13,"Austria",4,"free",0
"7","R_3qySGrCbpiW1JqM","Female",45,"Less than 20000€",0,13,"Austria",0,"free",1
"8","R_RabPHaUrofh7NKx","Female",24,"Less than 20000€",0,16,"Austria",2,"free",0
"9","R_xhf3dYoTU4SWDOV","Female",61,"20000 € - 30000 €",1,10,"Austria",2,"free",1
"10","R_2wRWezYLSMQyhPe","Male",23,"40000 € - 50000 €",3,6,"Austria",2,"free",0
"11","R_2c8ybwsShS1ZH98","Female",38,"More than 60000 €",5,22,"Austria",2,"free",0
"12","R_2WHIGrLSpYatAZU","Female",49,"More than 60000 €",5,18,"Austria",3,"free",0
"13","R_Xv1yCIjapbQc7jb","Female",32,"20000 € - 30000 €",1,14,"Austria",2,"free",0
"14","R_XLnHy34yyPFT4XL","Female",18,"Less than 20000€",0,12,"Austria",3,"free",0
"15","R_1Qc1ylA0KVSc8vk","Female",31,"Less than 20000€",0,12,"Austria",3,"free",0
"16","R_2QXMwmvsxnxHFt2","Female",24,"Less than 20000€",0,8,"Austria",3,"free",0
"17","R_2SAA6G0EggPrOwd","Male",34,"Less than 20000€",0,12,"Austria",4,"free",1
"18","R_3CQ0hj1F413OZX2","Male",24,"Less than 20000€",0,18,"Austria",3,"free",0
"19","R_2ar7FmuHr7d4K9V","Female",22,"Less than 20000€",0,13,"Austria",3,"free",0
"20","R_27xNPuELJRwkqK2","Female",22,"20000 € - 30000 €",1,16,"Austria",3,"free",0
"21","R_vNbJboIEnSZafnP","Female",26,"More than 60000 €",5,18,"Austria",3,"free",0
"22","R_3e93y0QsTvgesM2","Female",68,"Less than 20000€",0,11,"Austria",1,"free",0
"23","R_1F9P99aUmPYThss","Female",37,"Less than 20000€",0,18,"Austria",4,"free",0
"24","R_R84IzhMLtUYhgGt","Female",47,"More than 60000 €",5,12,"Austria",1,"free",0
"25","R_1P7uvD8rgWJb8XC","Male",50,"More than 60000 €",5,22,"Austria",3,"free",0
"26","R_1odLwOzaLWVZZsW","Male",34,"20000 € - 30000 €",1,12,"Austria",2,"free",0
"27","R_1gBJtlbV3s4YqTj","Male",39,"30000 € - 40000 €",2,16,"Austria",3,"free",0
"28","R_1M5Nt8LaNZ3Ye8v","Male",19,"20000 € - 30000 €",1,12,"Austria",2,"free",0
"29","R_AngQ9ZAhDmYhyGl","Female",35,"Less than 20000€",0,13,"Austria",2,"free",0
"30","R_10Gi8ntoeoH0rJ0","Female",27,"Less than 20000€",0,21,"Austria",2,"free",0
"31","R_26hzl2y1qZyuTqk","Female",29,"40000 € - 50000 €",3,12,"Austria",3,"free",0
"32","R_POmKasYjB2knT2x","Male",41,"30000 € - 40000 €",2,19,"Austria",2,"free",0
"33","R_3hioYBbjM9Sn6wK","Female",30,"20000 € - 30000 €",1,22,"Austria",3,"free",0
"34","R_1JDCxvoxcvIV7bQ","Male",30,"Less than 20000€",0,24,"Austria",3,"free",0
"35","R_1JPkEHFivLhqjP6","Female",34,"50000 € - 60000 €",4,18,"Austria",3,"free",1
"36","R_2sci3ihyuEz6nYu","Male",31,"More than 60000 €",5,19,"Austria",4,"free",0
"37","R_31SDrK9MuWLLYYV","Male",63,"40000 € - 50000 €",3,18,"Austria",4,"free",1
"38","R_1mOU7f2PtGhIamw","Male",23,"20000 € - 30000 €",1,14,"Austria",3,"free",0
"39","R_1LZ4yK9oSBVsFmi","Male",41,"More than 60000 €",5,15,"Austria",4,"free",0
"40","R_33ez5FqrrFOEddn","Female",24,"Less than 20000€",0,18,"Austria",2,"free",0
"41","R_0VZ6UbQ2qRnjRkt","Male",24,"Prefer not to answer",NA,9,"Austria",3,"free",0
"42","R_1LIplwhbr9Ss26I","Female",29,"20000 € - 30000 €",1,22,"Austria",3,"free",0
"43","R_2yeBltImc8PsyUy","Female",23,"Less than 20000€",0,18,"Austria",0,"free",1
"44","R_1DU6FOvzjLF7oVn","Female",33,"More than 60000 €",5,17,"Austria",3,"free",0
"45","R_2ZK6udDlQyzDxVW","Female",22,"Less than 20000€",0,14,"Austria",2,"free",0
"46","R_27Btsu4LDEsCJ99","Female",27,"Less than 20000€",0,22,"Austria",2,"free",0
"47","R_DuAwJUQmpuzjwAN","Female",28,"40000 € - 50000 €",3,14,"Austria",2,"free",1
"48","R_1IKKQCVGOyvnyau","Male",25,"Less than 20000€",0,16,"Austria",3,"free",0
"49","R_242bWxaodIS6uC7","Female",21,"Less than 20000€",0,16,"Austria",2,"free",0
"50","R_2sbXAgTdqP9sotm","Male",24,"20000 € - 30000 €",1,17,"Austria",4,"free",0
"51","R_eaPZh97cGsyobcd","Male",40,"50000 € - 60000 €",4,13,"Austria",4,"free",0
"52","R_vkjyWbrd1MhsnSx","Male",26,"Less than 20000€",0,18,"Austria",3,"free",0
"53","R_1rwYqp65YMFaOXY","Male",27,"30000 € - 40000 €",2,16,"Austria",3,"free",0
"54","R_1Hk8esY8vAIhNCG","Male",35,"30000 € - 40000 €",2,13,"Austria",3,"free",0
"55","R_1CJVwxSpRQsysXy","Female",31,"50000 € - 60000 €",4,18,"Austria",4,"free",0
"56","R_2y9gCcyVnhbXiLy","Female",40,"50000 € - 60000 €",4,16,"Austria",4,"free",0
"57","R_30kLkRe4TxfplMw","Male",39,"More than 60000 €",5,13,"Austria",3,"free",1
"58","R_271AkGtX2UHHD95","Male",30,"30000 € - 40000 €",2,22,"Austria",3,"free",0
"59","R_UzJlYDrsPAdKUFj","Female",25,"Less than 20000€",0,18,"Austria",2,"free",0
"60","R_3qfhV41AeOhMBoA","Female",23,"20000 € - 30000 €",1,14.5,"Austria",2,"free",0
"61","R_31T86Y6Bvld3K7z","Female",65,"Less than 20000€",0,11,"Austria",2,"free",0
"62","R_1kOblTGlxVfXNU2","Female",37,"Less than 20000€",0,16,"Austria",1,"free",0
"63","R_3iJqWZnTxsi2ARe","Female",63,"40000 € - 50000 €",3,15,"Austria",3,"free",0
"64","R_1LYDjswOAFTbD3a","Male",27,"More than 60000 €",5,22,"Austria",3,"free",0
"65","R_SIhwpQI9IytbCOl","Female",23,"Prefer not to answer",NA,15,"Austria",4,"free",0
"66","R_32Q4UE6467KBgPb","Female",32,"40000 € - 50000 €",3,17,"Austria",2,"free",0
"67","R_1GPPaWV7YbIzZH9","Female",25,"Less than 20000€",0,13,"Austria",2,"free",0
"68","R_RKwL9sFnMEudf5n","Female",26,"Less than 20000€",0,18,"Austria",3,"free",0
"69","R_OJN8WGTmtpfXv7r","Female",26,"Prefer not to answer",NA,17,"Austria",2,"free",0
"70","R_UbQVZ7zVgBjocsV","Male",25,"Less than 20000€",0,19,"Austria",3,"free",0
"71","R_2TUaIrNZ5R0JH3G","Female",32,"30000 € - 40000 €",2,13,"Austria",3,"free",0
"72","R_1HpYJsHEzecYCAw","Female",44,"20000 € - 30000 €",1,12,"Austria",2,"free",0
"73","R_3DkCmqnqWZlZOyS","Male",31,"30000 € - 40000 €",2,12,"Austria",3,"free",0
"74","R_21AMDNokMRoAUNB","Male",30,"30000 € - 40000 €",2,9,"Austria",3,"free",0
"75","R_seePf1cEXVxyGxX","Female",25,"20000 € - 30000 €",1,19,"Austria",4,"free",0
"76","R_ehZ3e3LoVaWGKXL","Male",38,"More than 60000 €",5,17,"Austria",3,"free",0
"77","R_2EovLyjGG5EMSnL","Female",21,"Less than 20000€",0,12,"Austria",4,"free",0
"78","R_3lMQkzPitEUiLaF","Male",48,"More than 60000 €",5,19,"Austria",4,"free",1
"79","R_8uFlp8itUqKNxTj","Female",42,"20000 € - 30000 €",1,18,"Austria",3,"free",0
"80","R_1MLqxTiSglel5JW","Female",55,"30000 € - 40000 €",2,20,"Austria",4,"free",0
"81","R_24AfAfrg43B4RJW","Male",34,"20000 € - 30000 €",1,11,"Austria",4,"free",0
"82","R_2TYs3CpRviw0tbh","Female",37,"20000 € - 30000 €",1,15,"Austria",3,"free",0
"83","R_2YEs8RB1wPOFxby","Female",40,"30000 € - 40000 €",2,13,"Austria",3,"free",1
"84","R_1M0ollZY96rSFGO","Female",25,"Less than 20000€",0,19,"Austria",4,"free",1
"85","R_1q3zM5y9vTKNYMN","Female",30,"20000 € - 30000 €",1,18,"Austria",4,"free",1
"86","R_3iVkGZLKpimpDEO","Female",28,"20000 € - 30000 €",1,20,"Austria",3,"free",1
"87","R_PH6VObesjTEctoZ","Female",22,"Less than 20000€",0,16,"Austria",3,"free",0
"88","R_3dSPe0HgY8njdJA","Female",40,"20000 € - 30000 €",1,17,"Austria",3,"free",0
"89","R_1LByWHkE6lG0B6H","Male",45,"More than 60000 €",5,20,"Austria",3,"free",0
"90","R_0PViXsWvwfsX9IJ","Female",29,"20000 € - 30000 €",1,17,"Austria",3,"free",1
"91","R_74cWj49cxi4U0x3","Female",36,"50000 € - 60000 €",4,22,"Austria",3,"free",0
"92","R_3PLJbxYs5ZdN11u","Female",23,"Less than 20000€",0,15,"Austria",3,"free",0
"93","R_qQKAFcjZtKVgXzb","Female",23,"Less than 20000€",0,16,"Austria",3,"free",0
"94","R_1JIta6ul9MRGwS4","Female",34,"30000 € - 40000 €",2,25,"Austria",1,"free",0
"95","R_BrBSsOGSuOrcStj","Female",26,"20000 € - 30000 €",1,20,"Austria",3,"free",0
"96","R_1gubDbKT8BZyl2i","Female",39,"20000 € - 30000 €",1,14,"Austria",2,"free",0
"97","R_3GsauwEF9xwLSnp","Female",40,"20000 € - 30000 €",1,13,"Austria",3,"free",0
"98","R_3LklZVUNpgNKmGp","Female",47,"40000 € - 50000 €",3,12,"Austria",2,"free",0
"99","R_2rpa9wQQhGvx13K","Male",19,"More than 60000 €",5,14,"Austria",3,"free",0
"100","R_PIgtd9g3KDAkWfT","Male",36,"50000 € - 60000 €",4,20,"Austria",3,"free",0
"101","R_2qFamcgnGdWCaHw","Female",47,"More than 60000 €",5,27,"Austria",3,"free",1
"102","R_3iCiyZ2fLQYoKLI","Male",28,"Less than 20000€",0,19,"Austria",3,"free",0
"103","R_22CVmEtY3Nhukdi","Male",25,"20000 € - 30000 €",1,18,"Austria",4,"free",0
"104","R_DUi2sOsjol9mFO1","Female",24,"30000 € - 40000 €",2,15,"Austria",2,"free",0
"105","R_24co84ZTtnzPEUQ","Female",21,"Prefer not to answer",NA,15,"Austria",3,"free",0
"106","R_2ZVoWotkv0tLyeq","Female",30,"Less than 20000€",0,18,"Austria",2,"free",0
"107","R_2CxGrLxqnr9IsoJ","Female",62,"30000 € - 40000 €",2,17,"Austria",4,"free",0
"108","R_3FVx6qhT5YGqxfa","Female",22,"20000 € - 30000 €",1,17,"Austria",3,"free",1
"109","R_248evxMs9ikz14j","Female",32,"20000 € - 30000 €",1,18,"Austria",3,"free",0
"110","R_3QXY2rMpmWNyov9","Male",19,"20000 € - 30000 €",1,10,"Austria",3,"free",0
"111","R_1HhOF0rhkILMI5z","Female",26,"20000 € - 30000 €",1,19,"Austria",4,"free",0
"112","R_2SBvA5SwMIzcmqy","Female",34,"Less than 20000€",0,15,"Austria",3,"free",0
"113","R_1jeKLV4dZ7OuRuM","Female",34,"More than 60000 €",5,18,"Austria",3,"free",1
"114","R_cvX6XL4hG1xCmqt","Female",32,"30000 € - 40000 €",2,12,"Austria",1,"free",0
"115","R_yUQWGuI2HEwij8l","Male",26,"Prefer not to answer",NA,13,"Austria",3,"free",0
"116","R_3LiqZLvp6EPBPa0","Female",41,"More than 60000 €",5,19,"Austria",2,"free",0
"117","R_237ttpH59fxUFOT","Female",59,"20000 € - 30000 €",1,9,"Austria",0,"free",0
"118","R_2rve5hX2xPcfl4T","Female",35,"20000 € - 30000 €",1,9,"Austria",3,"free",0
"119","R_1H62z5qM5S2TFVM","Male",27,"More than 60000 €",5,17,"Austria",4,"free",0
"120","R_1gHCmDdWE78Lh45","Female",58,"40000 € - 50000 €",3,17,"Austria",3,"free",1
"121","R_1OxUKAckenr5nTD","Female",20,"Less than 20000€",0,14,"Austria",2,"free",0
