StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,Prolific_ID,A1,time_a1__First_Click,time_a1__Last_Click,time_a1__Page_Submit,time_a1__Click_Count,B1_1_1,B1_1_2,B2_1_1,B2_1_2,time_b1_First_Click,time_b1_Last_Click,time_b1_Page_Submit,time_b1_Click_Count,C1_1,time_c1_First_Click,time_c1_Last_Click,time_c1_Page_Submit,time_c1_Click_Count,F1,time_f1_First_Click,time_f1_Last_Click,time_f1_Page_Submit,time_f1_Click_Count,D3,time_d3_First_Click,time_d3_Last_Click,time_d3_Page_Submit,time_d3_Click_Count,B1_2_1,B1_2_2,B2_2__1,B2_2__2,time_b2_First_Click,time_b2_Last_Click,time_b2_Page_Submit,time_b2_Click_Count,A2,time_a2_First_Click,time_a2_Last_Click,time_a2_Page_Submit,time_a2_Click_Count,E2,time_e2_First_Click,time_e2_Last_Click,time_e2_Page_Submit,time_e2_Click_Count,G2,time_g2_First_Click,time_g2_Last_Click,time_g2_Page_Submit,time_g2_Click_Count,d4_,time_d4_First_Click,time_d4_Last_Click,time_d4_Page_Submit,time_d4_Click_Count,A3_,time_a3__First_Click,time_a3__Last_Click,time_a3__Page_Submit,time_a3__Click_Count,B1_3__1,B1_3__2,B2_3_1,B2_3_2,time_b3_First_Click,time_b3_Last_Click,time_b3_Page_Submit,time_b3_Click_Count,D2_2,time_d2_First_Click,time_d2_Last_Click,time_d2_Page_Submit,time_d2_Click_Count,F2,time_f2_First_Click,time_f2_Last_Click,time_f2_Page_Submit,time_f2_Click_Count,C1_2,time_c2__First_Click,time_c2__Last_Click,time_c2__Page_Submit,time_c2__Click_Count,A4,time_a4_First_Click,time_a4_Last_Click,time_a4_Page_Submit,time_a4_Click_Count,D2_1,time_d1_First_Click,time_d1_Last_Click,time_d1_Page_Submit,time_d1_Click_Count,E1,time_e1_First_Click,time_e1_Last_Click,time_e1_Page_Submit,time_e1_Click_Count,G1,time_g1_First_Click,time_g1_Last_Click,time_g1_Page_Submit,time_g1_Click_Count,Ind_Col_1,Ind_Col_2,Ind_Col_3,Ind_Col_4,Ind_Col_5,Ind_Col_6,Ind_Col_7,Ind_Col_8,Ind_Col_9,Ind_Col_10,Ind_Col_11,Ind_Col_12,Ind_Col_13,Ind_Col_14,Ind_Col_15,Ind_Col_16,fin_lit1,fin_lit2,fin_lit3,fin_lit4,H1,Gender,Age_,Income,Education,Nationality,Mother_tongue__,Debriefing
4/13/2022 9:26:09,4/13/2022 9:35:32,0,107.77.202.168,100,563,1,4/13/2022 9:35:33,R_31cS62l86bdGGYh, , , , ,38.9522,-77.0253,anonymous,EN,1,610020564b8139ed661d14e8,3,18.407,18.407,22.402,1,5,5,5,5,17.762,21.194,23.573,5,8,10.368,10.368,12.522,1,1,9.464,9.464,11.453,1,2,7.806,7.806,8.919,1,5,5,5,5,10.956,14.94,18.431,4,3,17.228,17.228,18.253,1,1,8.55,8.55,9.648,1,3,8.702,13.119,13.477,3,2,6.651,6.651,7.252,1,2,18.939,18.939,20.518,1,5,5,7,7,28.171,34.091,35.532,5,2,12.227,12.227,13.071,1,3,22.605,22.605,24.251,1,10,38.436,38.436,40.852,1,2,14.494,14.494,16.618,1,2,12.535,13.592,14.046,2,2,12.471,12.471,13.335,1,1,46.532,46.532,48.198,1,5,5,5,5,4,2,1,4,4,5,5,5,2,2,1,4,4,6,1,7,5,2,25,1,5,24,7,1
4/13/2022 9:31:00,4/13/2022 9:49:42,0,74.64.101.54,100,1121,1,4/13/2022 9:49:43,R_5bUshXuAdiX6LWV, , , , ,40.7828,-73.9745,anonymous,EN,1,5d5035c5d87393001af70561,3,42.071,42.071,46.147,1,0,0,0,0,24.948,42.984,47.213,5,10,81.952,81.952,94.18,1,1,41.773,41.773,44.369,1,2,41.514,41.514,42.87,1,0,0,0,0,15.988,19.968,22.312,4,3,32.932,32.932,34.222,1,2,12.703,12.703,13.909,1,1,20.195,28.815,34.674,2,2,12.236,12.236,13.075,1,2,50.375,50.375,52.021,1,10,10,10,10,18.9,31.056,33.55,4,2,12.492,12.492,13.759,1,3,21.029,21.029,21.916,1,7,18.346,18.346,21.145,1,3,36.628,36.628,39.081,1,2,14.203,14.203,16.394,1,2,25.7,25.7,26.706,1,1,43.333,43.333,44.533,1,2,2,4,5,5,2,4,3,4,4,4,4,4,4,4,3,4,6,2,4,5,2,55,2,4,24,5,1
4/13/2022 9:40:07,4/13/2022 9:53:32,0,173.69.128.76,100,805,1,4/13/2022 9:53:33,R_20OjSLzUOoLCFqR, , , , ,39.3709,-76.8003,anonymous,EN,1,6070579d7fda87894277ab05,3,1.7,38.105,42.084,7,5,10,10,15,3.957,71.596,74.852,28,20,6.821,30.59,33.174,11,1,7.763,39.732,40.753,16,2,15.571,15.571,16.578,1,5,10,10,15,4.919,24.271,27.081,14,3,14.159,30.81,31.784,12,1,12.74,12.74,14.496,1,3,2.285,23.219,25.481,11,2,5.697,5.697,10.846,1,2,2.13,32.648,34.823,9,10,15,10,15,1.597,37.151,39.925,16,2,9.089,9.089,10.984,1,1,5.397,56.815,57.772,13,20,1.559,10.161,16.495,11,2,26.325,41.209,42.058,12,2,5.648,5.648,9.525,1,1,13.422,13.422,14.276,1,1,3.189,26.859,28.749,17,5,4,5,5,4,2,3,2,1,4,3,4,3,4,3,3,4,6,2,4,5,1,35,3,5,24,5,1
4/13/2022 9:44:09,4/13/2022 9:56:18,0,199.18.112.253,100,729,1,4/13/2022 9:56:19,R_1mXGC6qQSDIWmZq, , , , ,40.1149,-82.9054,anonymous,EN,1,60ae7c467d33b9667c590758,1,7.171,13.35,14.734,3,5,5,5,10,15.531,24.761,26.293,11,5,8.361,11.027,12.274,2,3,107.656,108.489,109.325,2,2,6.934,6.934,11.465,1,5,10,10,15,29.521,37.971,38.765,6,1,2.344,23.307,23.851,3,1,9.554,10.385,11.199,2,3,30.817,35.031,37.033,5,2,10.006,10.006,10.773,1,2,23.579,24.394,24.824,2,10,15,10,15,10.896,20.076,20.562,7,2,6.884,7.697,8.324,2,2,40.352,41.332,42.583,2,5,31.458,31.458,36.722,1,2,1.335,24.03,24.579,4,2,12.398,12.398,13.129,1,2,24.31,24.31,24.84,1,3,27.333,29.349,29.369,4,3,2,3,4,5,4,4,4,2,5,5,5,1,2,2,2,4,4,3,7,5,2,20,1,3,24,5,1
4/13/2022 9:47:43,4/13/2022 9:57:20,0,70.186.109.210,100,576,1,4/13/2022 9:57:20,R_2sZHmmjq6CC09GC, , , , ,29.8639,-90.1067,anonymous,EN,1,5c919a87707ed900018591e3,3,9.376,9.376,11.523,1,0,5,0,5,14.388,20.364,24.2,4,10,8.654,8.654,12.99,1,2,13.397,13.397,23.718,1,2,9.508,9.508,14.7,1,0,5,0,5,16.249,25.641,36.602,4,3,12.968,12.968,18.435,1,1,10.442,10.442,12.92,1,1,15.779,15.779,19.396,1,2,6.11,6.11,9.603,1,2,20.028,20.028,21.005,1,0,5,0,10,19.61,46.758,50.585,3,2,20.354,20.354,22.683,1,2,25.884,25.884,28.891,1,10,27.464,27.464,32.744,1,3,19.001,19.001,21.197,1,2,14.254,14.254,16.222,1,1,14.707,14.707,16.301,1,1,23.232,23.232,25.824,1,5,5,5,5,5,3,3,4,5,5,5,5,4,5,4,4,4,6,2,5,5,2,39,2,7,24,5,1
4/13/2022 9:44:11,4/13/2022 9:57:41,0,173.171.142.142,100,809,1,4/13/2022 9:57:41,R_3L7PHG2yjHS3FJG, , , , ,27.818,-82.734,anonymous,EN,1,6165f979b7d01ad3c05bb18f,3,20.633,20.633,22.005,1,0,5,5,10,13.861,23.037,26.24,4,7,132.91,143.623,145.561,2,1,4.271,12.208,13.429,2,2,7.213,7.213,7.856,1,5,10,10,20,19.511,25.136,27.736,4,3,17.341,17.341,18.874,1,1,10.489,10.489,12.125,1,3,6.134,6.134,7.236,1,2,7.429,7.429,8.048,1,3,22.62,25.732,27.283,2,10,15,10,15,22.509,46.078,50.386,5,2,25.722,27.985,29.205,2,3,35.402,35.402,37.074,1,7,21.551,21.551,27.029,1,2,96.399,96.399,98.052,1,2,9.864,9.864,10.583,1,1,8.026,8.026,9.796,1,2,25.755,25.755,27.427,1,3,4,4,4,3,2,4,2,4,3,4,4,4,4,4,4,5,4,3,7,5,2,33,1,4,24,5,1
4/13/2022 9:42:03,4/13/2022 9:57:46,0,98.200.104.7,100,943,1,4/13/2022 9:57:48,R_2xK6cTFouv4GQ5W, , , , ,29.959,-95.4514,anonymous,EN,1,60fe853a3bc6f0bf43e46b08,1,4.675,26.103,26.921,7,0,5,3,10,1.335,30.513,34.336,19,10,2.178,32.974,44.889,5,1,2.719,36.98,38.123,8,1,10.77,10.77,11.769,1,3,5,5,10,24.437,59.639,60.835,11,3,2.419,47.167,53.963,8,2,4.981,24.329,29.056,2,3,1.872,36.518,43.953,10,1,3.65,22.73,23.877,5,2,3.102,15.675,16.62,5,5,10,10,15,6.726,30.786,35.653,12,1,10.49,10.49,12.653,1,3,7.872,21.024,22.152,6,5,1.479,12.962,15.933,2,2,1.453,25.258,29.943,7,1,13.661,13.661,14.829,1,2,10.021,10.021,12.552,1,1,3.685,19.699,21.443,12,3,3,4,4,5,2,4,1,5,5,3,5,4,5,4,5,4,6,2,4,4,2,20,1,3,24,18,1
4/13/2022 9:50:25,4/13/2022 9:58:09,0,45.31.71.208,100,464,1,4/13/2022 9:58:10,R_2654QzAlLazNORD, , , , ,30.1172,-81.4119,anonymous,EN,1,5f032457e2b9844beff1a2ec,3,25.183,25.183,25.957,1,0,5,0,10,26.745,36.751,37.495,2,5,19.026,19.026,23.903,1,1,25.4,25.4,28.043,1,2,8.929,8.929,10.105,1,0,5,0,10,13.397,13.397,26.167,1,3,15.869,15.869,17.516,1,2,7.963,7.963,8.895,1,1,18.747,18.747,19.633,1,2,12.601,12.601,14.763,1,2,11.2,11.2,12.155,1,0,10,0,10,7.951,7.951,15.196,1,2,5.019,5.019,6.265,1,3,11.432,11.432,12.685,1,5,7.554,7.554,9.477,1,3,9.145,9.145,10.567,1,2,4.503,4.503,6.245,1,2,6.243,7.268,7.752,2,1,8.873,8.873,9.886,1,5,4,4,5,4,3,5,2,3,4,3,4,4,5,5,3,4,6,2,7,5,1,34,2,5,24,5,1
4/13/2022 9:48:30,4/13/2022 9:59:01,0,149.163.190.44,100,631,1,4/13/2022 9:59:01,R_3oIb7osFeSIF0Jy, , , , ,39.8983,-86.0115,anonymous,EN,1,5a5aa53be0cf3d000126790a,1,8.375,12.744,13.199,3,0,5,0,5,12.34,18.293,19.842,6,5,9.085,9.085,11.143,1,1,14.854,16.781,17.579,2,2,3.749,3.749,4.579,1,0,5,0,5,1.211,29.254,31.987,7,1,1.091,16.954,18.703,6,1,9.606,10.13,14.151,2,2,4.255,20.972,24.467,3,2,6.571,6.571,7.311,1,1,14.95,29.411,30.468,5,0,5,5,10,1.502,112.787,115.031,9,2,28.373,28.373,29.335,1,3,2.018,28.633,29.449,6,10,1.763,19.186,19.221,5,2,1.479,13.493,15.418,4,2,8.85,8.85,9.335,1,2,8.125,8.125,12.179,1,2,2.218,17.218,19.34,2,5,5,5,5,4,2,4,4,2,4,2,4,2,1,4,4,4,6,2,4,5,2,22,1,5,24,5,1
4/13/2022 9:42:07,4/13/2022 9:59:43,0,98.245.253.213,100,1056,1,4/13/2022 9:59:45,R_1fl5FBtt3HVar2P, , , , ,40.5815,-105.1042,anonymous,EN,1,614a8a0065cc96df4184115f,1,20.875,25.639,27.425,2,0,5,0,10,57.204,91.895,92.99,3,5,80.603,80.603,83.161,1,1,135.515,135.515,137.363,1,2,13.984,13.984,15.216,1,0,5,0,10,15.791,15.791,23.064,1,1,42.194,43.14,45.454,2,1,13.234,13.234,14.591,1,2,30.815,30.815,33.94,1,2,8.664,8.664,9.785,1,2,19.796,19.796,21.613,1,5,5,5,10,22.195,31.601,34.915,2,2,7.702,7.702,8.853,1,2,16.666,20.873,22.123,2,2.5,10.678,10.678,13.677,1,1,89.618,106.898,107.994,3,2,24.181,24.181,26.272,1,2,15.769,15.769,17.188,1,1,41.892,41.892,43.631,1,3,2,4,5,3,2,3,1,3,4,3,4,4,4,2,3,4,6,3,7,5,2,36,1,5,24,7,1
