"subject","Gender","Age","Income","Education","Country","FinancialLiteracy","condition","response"
"R_YbiZdXhcwrYYiUF","Female","50","Prefer not to answer","11","Austria",2,"Friend",1
"R_1puPa4dqnAjWUnB","Male","66","50000 € - 60000 €","18","Austria",4,"Friend",0
"R_eexGPMWuZPgFuH7","Female","27","20000 € - 30000 €","17","Austria",3,"Friend",0
"R_1FK6nwfwT9fshfd","Female","22","Less than 20000€","12","Austria",0,"Friend",1
"R_2VK03IlPZz32bZw","Female","25","Less than 20000€","19","Austria",3,"Friend",0
"R_3GrkyYBOKbwbJhp","Male","21","Less than 20000€","13","Austria",4,"Friend",0
"R_1OBJS6nA1YEnpep","Prefer not to say","25","Prefer not to answer","13","Austria",3,"Friend",0
"R_3qySGrCbpiW1JqM","Female","45","Less than 20000€","13","Austria",0,"Friend",0
"R_RabPHaUrofh7NKx","Female","24","Less than 20000€","16","Austria",2,"Friend",0
"R_xhf3dYoTU4SWDOV","Female","61","20000 € - 30000 €","10","Austria",2,"Friend",1
"R_2wRWezYLSMQyhPe","Male","23","40000 € - 50000 €","6","Austria",2,"Friend",0
"R_2c8ybwsShS1ZH98","Female","38","More than 60000 €","22","Austria",2,"Friend",0
"R_2WHIGrLSpYatAZU","Female","49","More than 60000 €","18","Austria",3,"Friend",1
"R_Xv1yCIjapbQc7jb","Female","32","20000 € - 30000 €","14","Austria",2,"Friend",0
"R_XLnHy34yyPFT4XL","Female","18","Less than 20000€","12","Austria",3,"Friend",0
"R_1Qc1ylA0KVSc8vk","Female","31","Less than 20000€","12","Austria",3,"Friend",0
"R_2QXMwmvsxnxHFt2","Female","24","Less than 20000€","8","Austria",3,"Friend",0
"R_2SAA6G0EggPrOwd","Male","34","Less than 20000€","12","Austria",4,"Friend",0
"R_3CQ0hj1F413OZX2","Male","24","Less than 20000€","18","Austria",3,"Friend",0
"R_2ar7FmuHr7d4K9V","Female","22","Less than 20000€","13","Austria",3,"Friend",0
"R_27xNPuELJRwkqK2","Female","22","20000 € - 30000 €","16","Austria",3,"Friend",1
"R_vNbJboIEnSZafnP","Female","26","More than 60000 €","18","Austria",3,"Friend",0
"R_3e93y0QsTvgesM2","Female","68","Less than 20000€","11","Austria",1,"Friend",1
"R_1F9P99aUmPYThss","Female","37","Less than 20000€","18","Austria",4,"Friend",0
"R_R84IzhMLtUYhgGt","Female","47","More than 60000 €","12","Austria",1,"Friend",0
"R_1P7uvD8rgWJb8XC","Male","50","More than 60000 €","22","Austria",3,"Friend",0
"R_1odLwOzaLWVZZsW","Male","34","20000 € - 30000 €","12","Austria",2,"Friend",1
"R_1gBJtlbV3s4YqTj","Male","39","30000 € - 40000 €","16","Austria",3,"Friend",0
"R_1M5Nt8LaNZ3Ye8v","Male","19","20000 € - 30000 €","12","Austria",2,"Friend",1
"R_AngQ9ZAhDmYhyGl","Female","35","Less than 20000€","13","Austria",2,"Friend",0
"R_10Gi8ntoeoH0rJ0","Female","27","Less than 20000€","21","Austria",2,"Friend",0
"R_26hzl2y1qZyuTqk","Female","29","40000 € - 50000 €","12","Austria",3,"Friend",1
"R_POmKasYjB2knT2x","Male","41","30000 € - 40000 €","19","Austria",2,"Friend",1
"R_3hioYBbjM9Sn6wK","Female","30","20000 € - 30000 €","22","Austria",3,"Friend",0
"R_1JDCxvoxcvIV7bQ","Male","30","Less than 20000€","24","Austria",3,"Friend",0
"R_1JPkEHFivLhqjP6","Female","34","50000 € - 60000 €","18","Austria",3,"Friend",0
"R_2sci3ihyuEz6nYu","Male","31","More than 60000 €","19","Austria",4,"Friend",0
"R_31SDrK9MuWLLYYV","Male","63","40000 € - 50000 €","18","Austria",4,"Friend",0
"R_1mOU7f2PtGhIamw","Male","23","20000 € - 30000 €","14","Austria",3,"Friend",0
"R_1LZ4yK9oSBVsFmi","Male","41","More than 60000 €","15","Austria",4,"Friend",0
"R_33ez5FqrrFOEddn","Female","24","Less than 20000€","18","Austria",2,"Friend",1
"R_0VZ6UbQ2qRnjRkt","Male","24","Prefer not to answer","9","Austria",3,"Friend",1
"R_1LIplwhbr9Ss26I","Female","29","20000 € - 30000 €","22","Austria",3,"Friend",0
"R_2yeBltImc8PsyUy","Female","23","Less than 20000€","18","Austria",0,"Friend",0
"R_1DU6FOvzjLF7oVn","Female","33","More than 60000 €","17","Austria",3,"Friend",0
"R_2ZK6udDlQyzDxVW","Female","22","Less than 20000€","14","Austria",2,"Friend",0
