StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,Play2,"Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,    We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.    Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.    You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.    Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.    I DECLARE THAT  • I am 18 years old or older  • I take part in this project voluntarily  • I am aware of the objectives and aims of this research project  • I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes  • I am aware that it is not possible to withdraw the data I have provided once it has been submitted.    For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.",Person A was given two tickets to the lottery. They won GHS70 with one ticket and GHS30 with the other ticket.      Person B was given a ticket to one lottery. They won GHS100.        Who is happier?,You are going to a sold-out game of your favourite rite local sports team and you have an extra ticket. The price marked on the ticket is GHS10 but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is GHS10. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend,You are going to a sold-out game of your favourite rite local sports team and you have an extra ticket. The price marked on the ticket is GHS10 but this ticket has been offered to you by a friend for free.       You want to get rid of the extra ticket and you know the ticket’s face value price is GHS10. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was GHS 20 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was GHS 20 instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay GHS20 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted GHS20","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay GHS20 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay GHS20 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for GHS230 and a Bluetooth speaker for GHS30. The salesman informs you that the speaker you wish to buy is on sale for GHS20 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is GHS10 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is GHS10. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is GHS10 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is GHS10. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was GHS20 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was GHS20 instead? - If they are a stranger,Person A received a fine and owed GHS150. The same day they received a second fine and owed GHS70.    Person B received a fine and owed GHS220.    Who is more upset?,"Imagine that you are on your way to a music event and intend to buy a ticket worth GHS70. On entering the venue, you realize that you have lost GHS70 in cash.    Would you still pay GHS70 for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth GHS30, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of GHS30 and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won GHS150. Also, they damaged one door in their apartment in an accident and had to pay the landlord GHS120.       Person B bought a lottery ticket and won GHS30.      Who is happier?",You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is GHS10 but you paid GHS20 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is GHS10. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is GHS10 but you paid GHS20 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is GHS10. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was GHS20 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was GHS20 instead? - If they are a stranger,"You are about to purchase a jacket for GHS30 and a Bluetooth speaker for GHS230. The salesman informs you that the speaker you wish to buy is on sale for GHS220 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you GHS700 a year (i.e., roughly GHS20 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted GHS20","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you GHS700 a year (i.e., roughly GHS20 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you GHS700 a year (i.e., roughly GHS20 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind",Person A damaged their car in a parking lot. They had to spend GHS300 to repair the damage. The same day they damaged the car they won GHS50 in a raffle.       Person B damaged their car in a parking lot. They had to spend GHS250 to repair the damage.       Who is more upset?,"Imagine that you are on your way to a music event with a ticket for which you have paid GHS70. On entering the venue, you discover that you have lost the ticket.    Would you pay GHS70 for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth GHS30, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of GHS30 and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.    What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have GHS100 in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your annual household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-12 06:52:08,2022-09-12 07:07:35,IP Address,100,927,True,2022-09-12 07:07:36,R_2xMrhBj5ebMSunR,anonymous,EN,0.8999999761581421,I agree to participate in the research,"No difference ",10,10,10,20,3,3,"Strongly disagree

5
",2,Yes,10,10,10,20,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,15,20,20,20,Yes,"Strongly disagree

5
",2,"Strongly disagree

5
",A,No,"Pay some, but not the full amount for the coupon (for example, half the price).",2,Exactly GHS102,I do not know,I do not know,I do not know,Absolutely serious,Female,27,GHS 17 000 - GHS 26 000,16,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 07:19:53,2022-09-12 07:32:22,IP Address,100,749,True,2022-09-12 07:32:25,R_3dLYtZ98QMPOXba,anonymous,EN,0.8999999761581421,I agree to participate in the research,A,10,15,10,15,5,"Strongly agree

1
","Strongly disagree

5
",4,Yes,10,15,10,15,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,15,10,15,Yes,"Strongly disagree

5
","Strongly agree

1
","Strongly agree

1
",B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",3,More than GHS102,Less than today,False,They collapse,Absolutely serious,Female,32,Less than GHS 17 000,18,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 07:04:56,2022-09-12 08:49:21,IP Address,100,6265,True,2022-09-12 08:49:22,R_ST1JganI0jU2xNf,anonymous,EN,0.8999999761581421,I agree to participate in the research,A,0,10,0,20,10,"Strongly agree

1
","Strongly disagree

5
",3,Yes,10,15,10,20,A,Yes,Pay your friend GHS30 for the coupon.,A,20,25,20,25,Yes,2,4,4,A,Yes,Pay your friend GHS30 for the coupon.,5,More than GHS102,Less than today,False,They remain unchanged,Moderately serious,Male,60,More than GHS 53 000,22,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 09:28:37,2022-09-12 09:38:02,IP Address,100,564,True,2022-09-12 09:38:03,R_3m3riK8qp6IDJHO,anonymous,EN,1,I agree to participate in the research,A,0,10,0,20,10,"Strongly agree

1
","Strongly disagree

5
",4,No,5,10,10,20,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,20,10,20,No,"Strongly agree

1
","Strongly disagree

5
",4,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",10,More than GHS102,Less than today,False,I do not know,Absolutely serious,Female,54,More than GHS 53 000,15,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 09:35:51,2022-09-12 09:46:45,IP Address,100,653,True,2022-09-12 09:46:45,R_Q9DvKBjMWNfiKkN,anonymous,EN,1,I agree to participate in the research,B,0,0,0,0,6,4,3,2,Yes,0,10,0,10,B,Yes,Consider it a gift and not pay for the coupon.,A,10,10,0,20,Yes,"Strongly disagree

5
",3,2,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",4,More than GHS102,Less than today,False,I do not know,Very serious,Female,26,GHS 26 000 - GHS 35 000,18,Germany,German,I allow you to use the responses I provided in this study.
2022-09-12 08:09:46,2022-09-12 08:10:03,IP Address,3,17,False,2022-09-19 08:10:08,R_1mdTr2XoAsndYCV,anonymous,EN,0.8999999761581421,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-12 09:31:25,2022-09-12 09:31:40,IP Address,8,14,False,2022-09-19 09:51:17,R_2xWCV384jueflWB,anonymous,EN,1,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-12 10:30:57,2022-09-12 10:36:01,IP Address,31,303,False,2022-09-19 10:51:36,R_1LRvh21LOi5EpC1,anonymous,EN,0.8999999761581421,I agree to participate in the research,,,,,,,,,,,,,,,,,,B,20,20,20,20,Yes,3,3,3,No difference,No,Consider it a gift and not pay for the coupon.,,,,,,,,,,,,,
