Country,0,1,2,3,4
Austria,20000,30000,40000,50000,60000
Brazil,1100,1600,2200,2800,3300
Canada,34000,50000,70000,87500,105000
China,15000,22000,30000,37500,45000
Colombia,1200000,1900000,2500000,3100000,3800000
Denmark,135000,202000,270000,338000,405000
Egypt,3400,5000,6700,8400,10000
France,15000,22500,30000,37500,45000
Germany,1800,2800,3800,4700,5700
Ghana,17000,26000,35000,44000,53000
Hungary,15000,22000,30000,38000,45000
India,210000,315000,420000,525000,630000
Indonesia,27500000,41250000,55000000,68750000,82500000
Iran,31000000,47000000,62000000,77000000,93000000
Israel,8100,12500,16300,20800,25000
Italy,15000,22000,30000,38000,45000
Lithuania,600,1000,1300,1600,2000
Morocco,30000,45000,60000,75000,90000
Netherlands,17000,26000,35000,44000,53000
Portugal,5500,8200,11000,13700,16500
Romania,1900,2800,3800,4800,5700
Russian Federation,17000,26000,34000,42000,51000
Singapore,60000,90000,120000,150000,180000
South Africa,75000,110000,150000,190000,225000
South Korea,14000000,21000000,28000000,35000000,42000000
Spain,8000,12000,16000,20000,24000
Sweden,130000,195000,260000,325000,390000
Switzerland,25000,38000,50000,62000,75000
Turkey,45000,68000,90000,112000,135000
UK,15000,22000,30000,38000,45000
USA,35000,52000,70000,87000,105000
Vietnam,"5,000,000","7,500,000","10,000,000","12,500,000","15,000,000"
