StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,    We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.    Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.    You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.    Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.    I DECLARE THAT  • I am 18 years old or older  • I take part in this project voluntarily  • I am aware of the objectives and aims of this research project  • I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes  • I am aware that it is not possible to withdraw the data I have provided once it has been submitted.    For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.",Person A was given two tickets to the lucky draw. They won Rs 900 with one ticket and Rs 400 with the other ticket. Person B was given a ticket to one lucky draw. They won Rs 1300.     Who is happier?,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is Rs 500 but this ticket has been offered to you by a friend for free.  You want to get rid of the extra ticket and you know the ticket’s face value price is Rs 500. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is Rs 500 but this ticket has been offered to you by a friend for free.  You want to get rid of the extra ticket and you know the ticket’s face value price is Rs 500. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was Rs 1000 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was Rs 1000 instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.    What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay Rs 200 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted Rs 200","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay Rs 200 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay Rs 200 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.  How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for Rs 2700 and a Bluetooth speaker for Rs 300. The salesman informs you that the speaker you wish to buy is on sale for Rs 200 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is Rs 500 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is Rs 500. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is Rs 500 which is what you paid for each ticket.    You want to get rid of the extra ticket and you know the ticket's face value price is Rs 500. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.   What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was Rs 1000 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was Rs 1000 instead? - If they are a stranger,Person A received a fine and owed Rs 1800. The same day they received a second fine and owed&nb,"Imagine that you are on your way to a music event and intend to buy a ticket worth Rs 900. On entering the venue, you realize that you have lost Rs 900 in cash.   Would you still pay Rs 900 for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth Rs 300, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of Rs 300 and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.    What do you think is the most appropriate thing to do?","Person A bought a lucky draw ticket and won Rs 1800. Also, they damaged one door in their apartment in an accident and had to pay the landlord Rs 1400.       Person B bought a lucky draw ticket and won Rs 400.       Who is happier?",You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is Rs 500 but you paid Rs1000 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is Rs 500. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend,You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is Rs 500 but you paid Rs1000 for each ticket when you bought them from another person.    You want to get rid of the extra ticket and you know the ticket’s face value price is Rs 500. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.    What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger,What price would you have asked for if you found out that the ticket’s face value price was Rs 1000 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was Rs 1000 instead? - If they are a stranger,"You are about to purchase a jacket for Rs 300 and a Bluetooth speaker for Rs 2700. The salesman informs you that the speaker you wish to buy is on sale for Rs 2600 at the other branch store, located 20 minutes away.    Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you Rs 8700 a year (i.e., roughly Rs 200 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted Rs200","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you Rs 8700 a year (i.e., roughly Rs 200 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you Rs 8700 a year (i.e., roughly Rs 200 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.    How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind",Person A damaged their car in a parking lot. They had to spend Rs 3500 to repair the damage. The same day they damaged the car they won Rs 500 in a raffle.       Person B damaged their car in a parking lot. They had to spend Rs 3000 to repair the damage.       Who is more upset?,"Imagine that you are on your way to a music event with a ticket for which you have paid Rs 900. On entering the venue, you discover that you have lost the ticket.    Would you pay Rs 900 for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth Rs 300, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of Rs 300 and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.    What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.    What price do you tell them?","Suppose that you have Rs 1000 in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?",To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.   How serious have you been about filling in the survey?,What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your annual household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	  	   ●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	  ●	Demographic data (e.g. gender, age or income level)	    Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID121""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}"
2022-09-12 00:14:06,2022-09-12 00:30:20,IP Address,100,974,True,2022-09-12 00:30:21,R_2foOcxU0mHFGqZS,anonymous,EN,1,I agree to participate in the research,A,0,500,500,1000,100,"Strongly agree

1
",4,4,No,500,500,1000,1000,A,No,Consider it a gift and not pay for the coupon.,B,500,1000,1000,1000,No,"Strongly agree

1
",4,"Strongly agree

1
",No difference,No,Pay your friend Rs 300 for the coupon.,25,More than Rs 1020,More than today,False,I do not know,Absolutely serious,Female,41,Rs 315000 - Rs 420000,15,United States of America,Hindi,I allow you to use the responses I provided in this study.
2022-09-12 00:49:24,2022-09-12 01:03:25,IP Address,100,840,True,2022-09-12 01:03:27,R_1r91KvFj7jyP3OY,anonymous,HI,1,I agree to participate in the research,B,1000,1500,1000,1500,100,3,2,"Strongly agree

1
",Yes,500,1000,1000,1500,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,1000,1500,1000,1500,No,3,2,"Strongly agree

1
",A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",100,Exactly Rs 1020,I do not know,False,I do not know,Absolutely serious,Male,40,More than Rs 630000,1,India,Hindi,I allow you to use the responses I provided in this study.
2022-09-12 02:24:59,2022-09-12 02:36:38,IP Address,100,699,True,2022-09-12 02:36:39,R_3fNRkyH5KWyvh3w,anonymous,EN,1,I agree to participate in the research,No Difference,500,500,1000,1000,700,3,"Strongly agree

1
","Strongly agree

1
",No,500,500,1000,1000,A,No,"Pay some, but not the full amount for the coupon (for example, half the price).",B,500,500,1000,1000,No,"Strongly agree

1
",2,"Strongly agree

1
",B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",700,More than Rs 1020,I do not know,I do not know,I do not know,Absolutely serious,Female,40,More than Rs 630000,16,India,Tamil,I allow you to use the responses I provided in this study.
2022-09-12 03:40:23,2022-09-12 04:11:57,IP Address,100,1893,True,2022-09-12 04:11:58,R_bEp6xE4AQkKCqAN,anonymous,EN,1,I agree to participate in the research,A,0,500,0,1000,100,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",No,500,500,1000,1000,A,Yes,Pay your friend Rs 300 for the coupon.,A,1000,1000,1000,1000,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",B,Yes,Pay your friend Rs 300 for the coupon.,100,More than Rs 1020,Less than today,False,They collapse,Absolutely serious,Male,44,Rs 420000- Rs 525000,10,India,Hindi,I allow you to use the responses I provided in this study.
2022-09-12 09:59:26,2022-09-12 10:13:09,IP Address,100,822,True,2022-09-12 10:13:09,R_1jvWrUAshVOJjpm,anonymous,EN,1,I agree to participate in the research,A,0,1000,0,1500,100,2,3,"Strongly agree

1
",No,500,1000,1000,1500,A,Yes,Pay your friend Rs 300 for the coupon.,B,1000,1200,1000,1500,No,4,3,"Strongly agree

1
",B,Yes,Pay your friend Rs 300 for the coupon.,50,More than Rs 1020,Less than today,False,I do not know,Absolutely serious,Male,26,More than Rs 630000,18,Germany,Other,I allow you to use the responses I provided in this study.
2022-09-12 14:14:29,2022-09-12 14:28:25,IP Address,100,835,True,2022-09-12 14:28:25,R_1Qup5u479v2a3bI,anonymous,EN,1,I agree to participate in the research,No Difference,500,1000,1000,1500,250,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,500,1000,1000,1500,No difference,Yes,Pay your friend Rs 300 for the coupon.,B,1000,1500,1000,1500,No,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",B,Yes,Pay your friend Rs 300 for the coupon.,100,More than Rs 1020,Less than today,False,They remain unchanged,Absolutely serious,Female,45,Prefer not to answer,20,United States of America,English,I allow you to use the responses I provided in this study.
2022-09-12 16:37:32,2022-09-12 19:25:45,IP Address,100,10092,True,2022-09-12 19:25:45,R_ZfQL7cmy2dHXLgJ,anonymous,EN,1,I agree to participate in the research,B,0,500,0,1000,100,4,3,4,Yes,0,500,0,1000,A,No,Pay your friend Rs 300 for the coupon.,B,0,500,0,1000,Yes,3,3,3,B,No,Pay your friend Rs 300 for the coupon.,100,More than Rs 1020,Less than today,False,They collapse,Absolutely serious,Male,25,Prefer not to answer,15,India,Other,I allow you to use the responses I provided in this study.
2022-09-13 00:21:03,2022-09-13 01:10:33,IP Address,100,2970,True,2022-09-13 01:10:34,R_3MzzidTE1U0TU5K,anonymous,EN,1,I agree to participate in the research,A,500,500,1000,1000,450,"Strongly agree

1
",3,3,Yes,500,500,1000,1000,No difference,No,Pay your friend Rs 300 for the coupon.,No difference,1000,1000,1000,1000,No,3,3,"Strongly agree

1
",B,No,Pay your friend Rs 300 for the coupon.,150,More than Rs 1020,Less than today,False,I do not know,Moderately serious,Prefer not to say,37,Prefer not to answer,17,India,Hindi,I allow you to use the responses I provided in this study.
