"","subject","Gender","Age","Income","Education","Residence","Country","NativeLanguage","FinancialLiteracy","attention_check_grater_than_3","attention_check_grater_than_2","loi_lower_than_loiX0_33","native_language_is_country_language","coupon","response","numeric_income"
"1","R_YbiZdXhcwrYYiUF","Female","50","Prefer not to answer","11","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"2","R_1puPa4dqnAjWUnB","Male","66","50000 € - 60000 €","18","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,4
"3","R_eexGPMWuZPgFuH7","Female","27","20000 € - 30000 €","17","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"4","R_1FK6nwfwT9fshfd","Female","22","Less than 20000€","12","Austria","Austria","German",0,TRUE,TRUE,FALSE,TRUE,"free",1,0
"5","R_2VK03IlPZz32bZw","Female","25","Less than 20000€","19","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"6","R_3GrkyYBOKbwbJhp","Male","21","Less than 20000€","13","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,0
"7","R_1OBJS6nA1YEnpep","Prefer not to say","25","Prefer not to answer","13","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",1,NA
"8","R_1oIuVxh3XL2CcwF","Female","42","40000 € - 50000 €","13","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,3
"9","R_3qySGrCbpiW1JqM","Female","45","Less than 20000€","13","Austria","Austria","German",0,TRUE,TRUE,FALSE,TRUE,"free",1,0
"10","R_RabPHaUrofh7NKx","Female","24","Less than 20000€","16","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"11","R_xhf3dYoTU4SWDOV","Female","61","20000 € - 30000 €","10","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",1,1
"12","R_2wRWezYLSMQyhPe","Male","23","40000 € - 50000 €","6","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,3
"13","R_2c8ybwsShS1ZH98","Female","38","More than 60000 €","22","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,5
"14","R_2WHIGrLSpYatAZU","Female","49","More than 60000 €","18","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"15","R_2fB5jeGtUdfz4L5","Male","18","Less than 20000€","10","Austria","Austria","German",0,FALSE,TRUE,FALSE,TRUE,"free",1,0
"16","R_Xv1yCIjapbQc7jb","Female","32","20000 € - 30000 €","14","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,1
"17","R_XLnHy34yyPFT4XL","Female","18","Less than 20000€","12","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"18","R_1Qc1ylA0KVSc8vk","Female","31","Less than 20000€","12","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"19","R_2QXMwmvsxnxHFt2","Female","24","Less than 20000€","8","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"20","R_2SAA6G0EggPrOwd","Male","34","Less than 20000€","12","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",1,0
"21","R_3CQ0hj1F413OZX2","Male","24","Less than 20000€","18","Austria","Austria","Other",3,TRUE,TRUE,FALSE,FALSE,"free",0,0
"22","R_2ar7FmuHr7d4K9V","Female","22","Less than 20000€","13","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"23","R_27xNPuELJRwkqK2","Female","22","20000 € - 30000 €","16","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"24","R_33dTypDysHPBQt4","Female","27","Less than 20000€","18","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",0,0
"25","R_vGDBV0bUvasb0vn","Female","30","Less than 20000€","16","Austria","Austria","German",2,FALSE,TRUE,FALSE,TRUE,"free",0,0
"26","R_vNbJboIEnSZafnP","Female","26","More than 60000 €","18","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"27","R_3e93y0QsTvgesM2","Female","68","Less than 20000€","11","Austria","Austria","German",1,TRUE,TRUE,FALSE,TRUE,"free",0,0
"28","R_1F9P99aUmPYThss","Female","37","Less than 20000€","18","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,0
"29","R_R84IzhMLtUYhgGt","Female","47","More than 60000 €","12","Austria","Austria","German",1,TRUE,TRUE,FALSE,TRUE,"free",0,5
"30","R_1E5RuZDbSsdmLQG","Male","68","20000 € - 30000 €","11","Austria","Austria","German",3,FALSE,TRUE,FALSE,TRUE,"free",0,1
"31","R_1P7uvD8rgWJb8XC","Male","50","More than 60000 €","22","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"32","R_1odLwOzaLWVZZsW","Male","34","20000 € - 30000 €","12","Austria","Austria","Afrikaans",2,TRUE,TRUE,FALSE,FALSE,"free",0,1
"33","R_1gBJtlbV3s4YqTj","Male","39","30000 € - 40000 €","16","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"34","R_1M5Nt8LaNZ3Ye8v","Male","19","20000 € - 30000 €","12","Germany","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,1
"35","R_AngQ9ZAhDmYhyGl","Female","35","Less than 20000€","13","Austria","Austria","Hungarian",2,TRUE,TRUE,FALSE,FALSE,"free",0,0
"36","R_egqJ8SWqylRdXAl","Female","21","Prefer not to answer","15","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",0,NA
"37","R_3qs5FtIYmCQScPr","Female","46","Less than 20000€","15","Austria","Austria","German",0,FALSE,TRUE,FALSE,TRUE,"free",1,0
"38","R_10Gi8ntoeoH0rJ0","Female","27","Less than 20000€","21","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"39","R_26hzl2y1qZyuTqk","Female","29","40000 € - 50000 €","12","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,3
"40","R_3qTGjVymWuLKgxc","Female","42","20000 € - 30000 €","15","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",0,1
"41","R_ahfplYkt2UbisVz","Female","29","20000 € - 30000 €","16","Austria","Austria","German",2,FALSE,TRUE,FALSE,TRUE,"free",1,1
"42","R_POmKasYjB2knT2x","Male","41","30000 € - 40000 €","19","Austria","Austria","German",2,TRUE,TRUE,FALSE,TRUE,"free",0,2
"43","R_3hioYBbjM9Sn6wK","Female","30","20000 € - 30000 €","22","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"44","R_2TYj9w3TSQUHXNo","Female","26","20000 € - 30000 €","20","Austria","Austria","German",2,FALSE,TRUE,FALSE,TRUE,"free",0,1
"45","R_CevmnT9RYVPbosx","Male","28","30000 € - 40000 €","18","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",0,2
"46","R_1JDCxvoxcvIV7bQ","Male","30","Less than 20000€","24","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"47","R_1JPkEHFivLhqjP6","Female","34","50000 € - 60000 €","18","Austria","Austria","Chinese",3,TRUE,TRUE,FALSE,FALSE,"free",1,4
"48","R_2sci3ihyuEz6nYu","Male","31","More than 60000 €","19","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,5
"49","R_3IRxtKSYQIkUAAF","Prefer not to say","24","20000 € - 30000 €","9","Austria","Austria","German",1,FALSE,TRUE,FALSE,TRUE,"free",0,1
"50","R_3qBxmbXSyGT0B2R","Male","22","Prefer not to answer","9","Austria","Austria","German",4,FALSE,TRUE,FALSE,TRUE,"free",0,NA
"51","R_31SDrK9MuWLLYYV","Male","63","40000 € - 50000 €","18","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",1,3
"52","R_1mOU7f2PtGhIamw","Male","23","20000 € - 30000 €","14","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"53","R_1LZ4yK9oSBVsFmi","Male","41","More than 60000 €","15","Austria","Austria","German",4,TRUE,TRUE,FALSE,TRUE,"free",0,5
"54","R_33ez5FqrrFOEddn","Female","24","Less than 20000€","18","Austria","Austria","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,0
"55","R_0VZ6UbQ2qRnjRkt","Male","24","Prefer not to answer","9","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"56","R_1LIplwhbr9Ss26I","Female","29","20000 € - 30000 €","22","Austria","Austria","German",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"57","R_2yeBltImc8PsyUy","Female","23","Less than 20000€","18","Austria","Austria","Other",0,TRUE,TRUE,FALSE,FALSE,"free",1,0
